,English,Yoruba
57,You act like you're a kid,O máa ń ṣe bí ọmọdé
58,And you are no longer a kid,O dẹ̀ kí ń ṣe ọmọdé mọ́
59,When I was your age,Nígbà tí mo wà ní ọjọ́ orí ẹ yìí
60,I already had your third sibling,Mo ti bí àbúrò ẹ kẹ́ta
61,You need to be sure she loves you enough,O ní láti rí i dájú pé ó nífẹ̀ẹ́ dúnjú
62,To be able to tolerate you,Kí ó lè gba ìwà ẹ mọ́ra
63,Okay mummy,Ó dáa màámi
64,I've heard,Mo ti gbọ́
65,I've heard mummy,Mo ti gbọ́ mummy
66,Do you understand,Ṣé ó ti yé ẹ
67,Why are you frowning,Kílódé tí ojú ẹ kọ́rẹ́ lọ́wọ́
68,Why are you acting like everything is fine?,Kílódé tí ò ń hùwà bí ẹni pé gbogbo nǹkan ń lọ dáadáa?
69,But everything is fine,Ṣùgbọ́n gbogbo ẹ̀ ń lọ dáadáa
72,"Hold on, so how do we pay for the wedding? ","Dúró na, báwo ni a ṣe máa sanwó fún ìgbéyàwó?"
73,Don’t worry,Má ṣèyọnu
74,"Stop telling me not to worry, I am worried Femi ","Yéé sọ fún mi pé kí n má ṣèyọnu, mo rí i rò Fẹ́mi"
75,I'm the bride and it is my job to be worried," Èmi ni ìyàwó, iṣẹ́ mi ni láti ṣèyọnu"
76,"All my life, I've always dreamt of a very beautiful wedding ",Gbogbo ayé mi ni mo ti fi ń ronú pé mo máa ṣe ìgbéyàwó alárinrin
77,"Even if I can't have that, let me have a nice and decent wedding "," Tí mi ò  bá tiẹ̀ ní ṣe ìyẹn, jẹ́ kí n ṣe ìgbéyàwó tó dára níwọ̀ǹba"
78,But it looks like that won't be happening because we are broke,Ṣùgbọ́n kò jọ pé ìyẹn máa ṣẹlẹ̀ torí kò sówó lọ́wọ́ wa.
79,"Okay let me tell you this, we are not broke"," Ó dáa jẹ́ kí n sọ èyí fún ọ, a lówó lọ́wọ́"
80,My agency just called me that Sony Nigeria wants to buy one of my books,Ilé iṣẹ́ tó ń ṣojú mi ṣẹ̀ṣẹ̀ pè mí tán pé iléesẹ́ Sony Nigeria fẹ́ ra ọ̀kan lára àwọn ìwé mi
81,So we are not broke,Fún ìdí èyí owó kò sá fẹ́rẹ́ lọ́wọ́ wa
82,"Yeah, so we are rich"," Bẹ́ẹ̀ ni, owó wà lọ́wọ́ wa"
83,Hold on! Sony has a branch in Nigeria?,Dúró ná! Iléesẹ́ Sony ní ẹ̀ka ni Nàìjíríà?
84,Yes they do,Bẹ́ẹ̀ ni wọ́n ní
85,"And they are planning to buy one of my books, I'm meeting with them tomorrow and it's a good deal "," Wọ́n ń gbèrò láti ra ọkàn nínú àwọn ìwe mi, mo ní ìpàdé pẹ̀lú wọn ní ọ̀la, owó ńlá dẹ̀ ni"
86,"Wow, that sounds like good news",Ìròyìn tó dára lèyí o
88,So how much are we talking about?,Èló ni à ń sọ̀rọ̀ nípa gan?
89,Enough to have a dream wedding,Iye tí yóó tó ṣe ìgbéyàwó
90,Femi I'm sorry for bothering you like this,Fẹ́mi má bínú pé mò ń dà ọ́ láàmú báyìí
91,"I know it's the bride's family that pays for the wedding, but you know my condition"," Mo mọ̀ pé ẹ̀tọ́ ìdílé ìyàwó ni lati ṣe ìnáwó ìgbéyàwó, ṣùgbọ́n ó mọ ipò tí mo wà"
92,What is your condition?,Ipò wo  ni o wà?
93,I told you not to be talking like this,Mo ti ní kí o yé sọ̀rọ̀ báyìí mọ́
94,I knew this before I told you to marry me,Mo mọ̀ èyí kí n tó ní kí ó fẹ́ mi
95,"Everything will be fine, we're in this together","Gbogbo nǹkan á dára, a jọ wà nínú ẹ̀ ni"
96,Are you sure?,Ṣé ó dá ẹ lójú
98,"This was the surprise I was telling you about, the Gucci bag","Ohun ìyàlẹ́nu tí mọ ni fún ẹ rè é, àpò ìkọ́pá Gucci yẹn"
100,"Yes, you like it? ","Bẹ́ẹ̀ ni, ṣé o fẹ́ràn  ẹ̀?"
101,Femi! A Gucci bag?,Fẹ́mi! Àpò ìkọ́pá Gucci?
103,I hope you’ve not cut the tag?,Mo lérò pé o kò tí ì já táàgì ara rẹ̀ kúrò?
104,No I have not,Rárá mi ò tí ì ja
105,You know what? You have to return it,O mọ nǹkan? Ó ní láti dáa padà
106,Why? You don’t like it?,Kílódé? Ṣé ó kò fẹ́ràn rẹ̀ ni?
107,Femi you can't go about buying me things as random like this," Fẹ́mi, o ò lè máa ra nǹkan oríṣìíríṣi fún mi báyìí"
108,"Darling, this is a very expensive bag"," Olólùfẹ́ mi, àpò ìkọ́pá yìí wọ́n gidi gan"
109,"Okay, How much did you get it?","Ó dáa, Èló ni o rà á?"
110,Actually very expensive,Ó wọ́ gan lóòótọ́
111,"Femi we are broke, you can't go about buying me expensive gifts like this and expect me to keep quiet ","Fẹ́mi owó sáfẹ́rẹ́ lọ́wọ́ wa, o ò kàn lè máa ra ẹ̀bùn tó wọ́n gógógó báyìí fún mi kí n máa wòran"
112,It doesn’t make sense,Kò mọ́gbọ́n wá
113,"The other day you saw it on Instagram, you said you liked it ","Níjọ́sí tí ó rí i lórí Ínsítágíráàmù, o ní o fẹ́ràn rẹ̀"
114,I bought it for you as your husband,Mo sì rà á fún ẹ gẹ́gẹ́ bí i ọkọ rẹ
115,And so what?,Nígbà náà ńkọ́?
116,We just had a luxurious wedding,A ṣẹ̀ṣẹ̀ ṣe ìgbéyàwó aláriwo ni
117,"In fact, we have not even paid for the house rent","Kódà, a kò tí ì san owó ilé gan"
118,You know what,O mọ nǹkan?
119,I think we really need to reconcile our accounts,Mo lérò pé ó yẹ kí à yanjú àkọsílẹ̀ owó wa
120,"I see, really?", "Mo rí i bẹ́ẹ̀, ṣé lóòótọ́?"
121,"Yes, so with that I will have our heads up if you go about spending money like a complete idiot"," Bẹ́ẹ̀ ni, mo gbódò ṣí ọpọlọ mi sílẹ̀ tí ìwọ bá fẹ́ máa náwó bí òpònú"
122,I thought you would like it,Mo rò pé o o máa fẹ́ràn ẹ̀
123,"My love, I like it but this is a bad timing","Ìfẹ́ mi, mo fẹ́ràn rẹ̀ ṣùgbọ́n kì í ṣe ohun tó kàn lásìkò yìí"
126,"Like morning, afternoon, night?"," Ṣé bí i àárọ̀, ọ̀sán, alẹ́?"
127,Maybe I should have given it to you in the morning then,Bóyá mi ò bá ti fún ẹ ní àárọ̀
128,Femi you are dumb!,Fẹ́mi o gọ̀!
129,Hello sir! I know you,Ẹ ǹlẹ́ ṣà! Mo mọ̀ yín
130,You know me?,O mọ̀ mí?
131,Of course I do,Bẹ́ẹ̀ ni
132,I'm sure you don't know me,Ó dá mi lójú pe o kò mọ̀ mí
134,"You are the writer of the ""Three shepherds""",Ẹ̀yin ni ẹ kọ “Three Sherperds”
135,"I think I'm the wrong person here, you actually know me","Èmi ni mi ò mọ̀ nǹkankan níbí o, o mọ̀ mí lóòótọ́"
136,Yes you are, Bẹ́ẹ̀ ni èyin ni
137,Oh thank you very much,O ẹ ṣé púpọ̀
138,My name is Femi,Orúkọ mi ni Fẹ́mi
139,"Of course I know, I just told you I know you","Mo mọ̀, ṣebí mo ṣẹ̀ sọ fún yín pé mo mọ̀ yín"
140,"You know this is very strange, we don't normally come across people that know us for our peace","Èyí ṣàjèjì, a kì í sábàá pàdé ẹni tí ó mọni délédélé"
141,"I love your book,I just read that it would be adapted for a movie"," Mo nífẹ̀ẹ́ ìwé yín, mo ṣẹ̀ṣẹ̀ kà á pé wọ́n máa ṣeré ẹ̀"
142,"Yes, they should be done any moment soon ","Bẹ́ẹ̀ ní, wọn máa parí ẹ̀ láìpẹ́"
143,Can I get a picture please?,Ṣé mo lè ya àwòrán yín
144,Àwòrán mi?,Picture of me?
146,"Excuse me, what is it? ","Ẹ jọ̀ọ́, kílódé?"
147,Did he not tell you he has a wife?,Ṣé wọn kò sọ fún yín pé àwọn ní ìyàwó?
148,Sorry má,Ẹ má bínú mà
149,"Babe calm down, she's just a friend ","Ní sùúrù ìyàwó mi, ọ̀rẹ́ lásán ni."
150,"I just met her, she read my book"," Mo ṣẹ̀ṣẹ̀ bá a pàdé ni, ó ka ìwé mi"
151,And so?,Nígbà náà ńkọ́?
152,You just chased a fan away,O ṣẹ̀ṣẹ̀ lé ọ̀kan lára àwọn olólùfẹ́ mi dànù
153,You know you're being ridiculous,O mọ̀ pé ìwà burúkú nìyẹn
154,I am ridiculous? Don't be stupid Femi,Èmi ń huwa burúkú? Fẹ́mi má hùwà bí òmùgọ̀
155,Was it not obvious that she was trying to get into your pants?,Ṣé kò hàn gbangba pé ó ń wá bí yóó ṣe wọlé sí ẹ lára ni?
156,You're the one that is stupid,Ìwọ ló gọ̀
157,Are you mad? I am stupid?,Ṣé orí ẹ dàrú ni? Ẹ̀mí gọ̀?
158,I can't stand you,Mi ò lẹ́jọ́ bá ẹ rò
159,Pay the bills and meet me inside the car,Sanwó kí o bá mi nínú ọkọ̀
160,Baby!! I have made breakfast,Ọkọ mi!! Mo ti ṣe oúnjẹ àárọ̀.
161,Come and go eat,Wá lọ jẹun
162,What is it?,Kí ni?
163,Answer me now,O ò dẹ̀ dá mi lóhùn nau
164,Femi! I am talking to you now,Fẹ́mi! Mò ń bá ẹ ṣọ̀rọ̀ nau
165,You're not saying anything,O sọ̀ nǹkankan ni
166,Oh wait!,Dúró ná!
167,Is this about the supermarket?,Ṣé nítorí ohun tí ó ṣẹlẹ̀ ní Ilé ìtajà?
168,"It is a brand new day, let it go","  Ọjọ́ tuntun lèyí, jẹ́ kí ìyẹn lọ"
169,But how would you do that?,Kí ló dé tí o fi máa ṣe báyẹn
170,Slap me in the public? That's quite unfair,Ó gbá mi létí ní gbangba? Ó kù díè káàtó
171,Alright Femi,Ó dáa Fẹ́mi
172,"I'm sorry, we were in a public place",Má bínú pé ìta gbangba ni
173,You need to have some respect for your wife," Má bínú, ó yẹkí o fún mi ní ọ̀wọ̀ tèmi ni gbangba"
174,That's an ordinary fan,Olólùfẹ́ iṣẹ́ mi lásán ni
175,I'm sorry,Má  bínú
176,It's okay,O ti dá
177,I am sorry now,Má bínú
178,You hear?,Ṣé o ti gbọ?
179,Kiss me,Fẹ́nu kò mí lẹ́nu
180,I am not kissing,Mi ò fẹnukonu
181,Are you still angry?,Ṣé o ṣì ń bínú ni?
182,Kiss me,Fẹ́nu kò mí lẹ́nu
183,Open your mouth like this,La ẹnu ẹ báyìí
184,Femi! Is that it?,Fẹ́mi! Ṣé ó ti tán nìyẹn
185,That is what?,Kí nìyẹn?
186,I have not even been on top of you for two minutes and you just came just like that?,"Mi ò tí ì lo ìṣẹ́jú méjì lórí ẹ, o ti sáré dà báyẹn?"
187,"Esther, that is horrible","Esther, ìyẹn ò dáa"
188,What do you mean two minutes?,Kí ni ìṣẹ́jú méjì?
189,"I lasted three minutes, it was up to three minutes","Mo lò tó ìṣẹ́jú mẹ́ta, ó pé ìṣẹ́jú mẹ́ta"
190,What is three minutes?,Kí ni ìṣẹ́jú méta
191,Keep your mouth shut,Gbé ẹnu ẹ dákẹ́
192,(Mimic her),(Ń sín in jẹ)
193,This is becoming annoyingly stupid,Èyí ò mọ́gbọ́n wá mọ́
194,Our sex life is boring,Ìgbé ayé ìbálòpọ̀ wa ò lárinrin mọ́
195,"You know what, we seriously need to spice up our sex life","O mọ nǹkan, a nílò láti mú ìbálòpọ̀ wa lárinrin."
196,I can't take this anymore,Mi ò lè gba èyí mọ́
197,And you even opened up your mouth to say three minutes,O dẹ̀ la ẹnu sọ pé ìṣẹ́jú méta
198,Okay let's do it again then," Ó dáa, jẹ́ kí a tún un ṣe ń’gbà yẹn"
199,Do what again?,Tún kíni ṣe?
200,The sex life,Ayé ìbálòpọ̀
201,The sex life?,Ayé ìbálòpọ̀?
202,You're just a fool,Òmùgọ̀ ni ẹ́
203,You won't only try it again! Idiot,O ò ní tún un ṣe nìkan! Ọ̀dẹ̀
204,Where are you now going to?,Níbo lo wá ń lọ nísìn
205,Maybe you should teach him,Bóyá kí o kọ́ ọ
206,Excuse me? I should teach him,Kí lo wí? Kí n kọ́ ọ
207,"Abeg, I don't have such time "," Jọ̀wọ́, mi ò ráyè irú ìyẹn"
208,"If you don't want to teach him, how then do you get sexually satisfied? "," Bí o kò bá fẹ́ kọ́ ọ, báwo ni o ṣe wá ń rí ìtẹ́lọ́rùn níbi ìbálòpọ̀?"
209,"Darling, you don't worry about that ","Ọ̀rẹ́, má ṣe ìyọnu nípa ìyẹn"
210,Wait Esther,Dúró Esther
211,Is there something you are not telling me?,Ṣé nǹkankan wà tí o ò sọ fún mi?
212,Are you getting it from somewhere else?,Ṣé o ti ń gbà á níbòmíràn ni?
213,God! Esther!,Ọlọ́run o! Esther! 
214,If that is how it happened,Bí ó bá jẹ́ pé bó ṣe ṣẹlẹ̀ náà nìyẹn
215,I don't blame you,Mi ò dá ẹ lẹ́bi
216,If it was a man that his wife did not satisfy like that...,Tí ó bá jẹ́ pé ọkùnrin ni ìyàwó ẹ̀ ò satisfy bẹ́yẹn...
217,Before you know it he will be out there to get himself satisfied,"Ká tó wí “ẹ” báyìí, á ti fò síta láti gba gbogbo satisfaction  ẹ̀ níta "
218,But if it was a woman,Ṣùgbọ́n tí ó bá jẹ́ obìnrin
219,All hell will be let loose,Gbẹgẹdẹ á gbiná
220,That is when you will hear different terms,Ìgbà yẹn ni o máa gbọ́ oríṣìíríṣi terms
221,"They can say she's a prostitute, a whore, she’s wayward "," Wọ́n lè sọ pé aṣẹ́wó ni, ọ̀dọ́kọ ni, ó ń rìnrìn gbéregbère"
222,Are we not all the same?,Ṣé gbogbo wa kọ́ ni aṣẹ́wó ni?
223,Why does it sound like a very bad thing to say?,Kílódé tí ó ń dún bí nǹkan tí kò ṣe é gbọ́?
224,Don't be offended, Má bínú
225,Continue what?,Bá kíni lọ? 
226,Maybe you should continue like that then,Bóyá kí o máa bá a lọ bẹ́ẹ̀
227,"Now you are talking, there's someone doing this "," O ṣẹ̀ṣẹ̀ ń sọ̀rọ̀ ni, ẹnìkan wà tí ó ń ṣe kiní yìí"
228,Please gist me,Jọ̀wọ́ sọ fún mi
229,No gist for you,Mi ò sọ fún ẹ
230,No wonder you turned to a motivational speaker?,Abájọ tí o ṣe di ọlọ́rọ̀ ìyànjú?
231,"No gist, get me something to drink "," Kò sọ́rọ̀, wá nǹkan mímu fun mi"
232,"Today, we'll be having squats"," Lónìí, ère a máa ṣe ìbẹ̀rẹ̀-nàró"
233,We'll be doing ten,Mẹ́wàá ni a ó ṣe
235,Then we'll do it like five sets,Ẹ̀ẹ̀marùn-ún ni a ó ṣe é
236,So let's go..,Ó yá...
237,"No, you're not getting it "," Rárá, ẹ ò gbà á"
238,Look at me,Ẹ wò mí
239,"You'll do like this, let's go "," Ẹ máa ṣe báyìí, ó yá"
240,Like that! You are doing ten,Báyẹn! Mẹ́wàá ni ẹ máa ṣe
242,"What's the meaning of this, what’s going on here? "," Kí ni ìtumọ̀ eléyìí, kí ló ń ṣẹlẹ̀ níbí?"
243,"Baby calm down, he's my trainer "," Ọkọ mi ní sùúrù, olùkọ́ mi ni wọ́n"
244,Like Sneakers?,Bí i bàtà?
245,Fitness trainer,Olùkọ́ ìdárayá
246,You want to fight?,Ò ń múra ìjà ni?
247,"For goodness sake, I am trying to keep fit "," Nítorí Ọlọ́run, mo ní láti ṣe ṣémúṣémú"
248,He's a gym instructor,Olùkọ́ ìdárayá ni
249,"Oh! Gym instructor, I see ",O! Olùkọ́ ìdárayá! Mo rí i bẹ́ẹ̀
250,Oh you're trying to...?,Ò ń gbìyànjú láti…?
251,It's necessary,O nílò ẹ̀
252,Try to touch,Gbìyànjú láti fi ọwọ́ kan
253,He should touch?,Kí wọ́n fọwọ́ kan?
254,I understand,Ó ti yé mi
255,Six more right?,Mẹ́fà ló kù àbí?
257,"You guys are sweating, you'll need water ","  Ẹ̀yin méjèèjì ń làágùn, ẹ máa nílò omi"
258,Yes sir,Bẹ́ẹ̀ ni sà
259,Let me run and get you some water,Ẹ jẹ́ kí n sáré lọ gbé omi wa fún yín
260,Thank you sir,Ẹ ṣẹun sà..
261,Three more!,Ó ku mẹ́ta
262,Two more!,Ó ku méjì
263,I have been waiting for you in bedroom since,Mo ti ń dúró dè ẹ́ ní iyàrá ìbùsùn látàárọ̀
264,You know the party I told you about?,O ṣáà mọ ayẹyẹ tí mo sọ̀rọ̀ ẹ̀ fún ẹ?
265,Bola is waiting for me outside,Bola ń dúró dè mí níta
266,I need to run,Mo ní láti tètè
267,You know you were not going,O ṣáà mọ̀ pé ìwọ ò lọ
268,You know party is not my thing,O mọ̀ pé mi ò fẹ́ràn òde lílọ
269,But you know I have a writing to do this night,But o mọ̀ pé mo ní ìkọ̀wé láti ṣe
270,and the child will be disturbing me,àti pe ọmọ yẹn ma ma dà mí láàmú
271,I have a deadline,Mo dẹ̀ ní àkókó ìparí kan
272,What is wrong with you?,Kí ló máa ń ṣe ẹ?
273,Everytime you have writing,Gbogbo ìgbà ni o máa ń ní nǹkan láti kọ
274," Baby don't say that, it brings in money","Má sọ’yẹn o, ó ń mówó wọlé "
275,Have you forgotten?,O ti gbàgbé ni?
276,What is it?,Kí ni?
277,Very tangible amount,Owó tó tangible
278,You know what,O mọ nǹkan tó ṣẹlẹ̀
279,I am going out to have fun,Mò ń jade lọ ṣe fàájì
280,"If you don't want to go, you are on your own "," Tí ìwọ ò bá fẹ́ lọ, ìwọ lo mọ̀"
281,What is it?,Kí ni?
282,Don't go yet,Má ì tí ì lọ
283,Let's play a bit,Jẹ́ á ṣeré díẹ̀
284,Help me keep this makeup kit for me,Bá mi keep àwọn ohun ìkunjú yìí
285,Make up,ohun ìkunjú
286,We can't be having a quickie now,A ò lè sáré ṣeré ìfẹ́ báyìí
287,"Bye, love you!","Ó dàbọ̀ , mo nífẹ̀ẹ́ ẹ!"
289,Keep those makeup kit well,Keep àwọn ohun ìkunjú yẹn dáadáa
291,What happened?,Kí ló ṣẹlẹ̀ ?
293,I see you touching me,Mo ri pé ò ń fọwọ́ kàn mí
294,"Nothing, I'm just patting you to sleep"," Kò sí nǹkan, mò ń fọwọ́ gbà ẹ lẹ́yìn kí ó lè sùn"
295,Femi what is it now?,Fẹ́mi kí ló ṣẹlẹ̀ báyìí?
296,Why are you running your hands through my body like this?,Kílódé tí ò ṣe ń fi ọwọ́ pamí lára báyìí
297,What is happening?,Kí ló ṣẹlẹ̀?
298,You should understand by now,Ó yẹ kí ó ti yé ìwọ náà látẹ̀ẹ̀kan now
299,Understand what?,Kí ni ó ń yé mi?
300,Let do this thing,Jẹ́ á ṣe kiní yìí
301,Let's get down,Jẹ́ kí a bẹ̀rẹ̀
302,(Mimics him),( Ń sín in jẹ)
303,Please I am tired,Jọ̀wọ́ ó rẹ̀ mí
304,How come you are tired?,Báwo ló ṣe máa rẹ̀ ẹ́
305,You can't be tired now,Ko lè rẹ̀ ẹ́
306,I did all the house chores today,Ṣebí èmi ni mo ṣe gbogbo iṣẹ́ ilé yìí lèní 
307,hmm (Hisses), hmm (Pòṣé)
308,"Femi you know what, if you don't stop touching me, I will send you to the guest room or wherever"," Fẹ́mi o mọ nǹkan, tí o kò ba dẹ́kun fífi ọwọ́ kàn mí, màá lé ẹ lọ sí yàrá àlejò tàbí ibòmíràn"
309,Are you alright?,Ṣe ó gbádùn?
310,I am tired,Ó rẹ̀ mí
311,Can't you hear?,Ṣé o ò gbọ́ràn ni?
312,Don't touch me!,Má fi ọwọ́ kàn mí!
313,Stop crying now,Yéé sunkún
315,Who is there,Ta ló wà  níbẹ̀
316,Miss Bimbo,Omidan Bímbọ́
317,It is okay,Ó ti tó
318,Sorry o,Pẹ̀lẹ́ o
319,Good day Mr Femi,Ẹ ǹlẹ́ ọ̀gbẹ́ni Fẹ́mi
320,I heard Junior's voice so I came to check on you,Mo gbọ́ ohùn Junior ni mo ṣe ní kí n yọjú si ẹ
322,He's been crying all day,Bó ṣe ń sunkún látàárọ̀ náà nìyẹn
323,I've been trying to calm him down but he's not even calming down,Mò ti ń gbìyànjú láti rẹ̀ ẹ́ lẹ́kun ṣùgbọ́n kò gbọ́
324,Junior it's okay,Junior ó titó
326,What has daddy done to you?,Kí ni daddy ṣe fún ẹ?
327,Is it mummy?,Ṣé  mummy ni?
328,He is running temperature,Ara ẹ̀ ń gbóná gan
329,I also noticed,Èmi náà ṣàkíyèsí
330,Should we take him to the hospital?,Ṣé kí a gbé e lọ sí hospital ni?
331,It's not up to that,Kò tí ì le tó yẹn
332,He should be fine,Ara ẹ̀  máa yá
333,Mike! Thank God Mike is here,Mike! Ọlọ́run ṣeun Mike ti dé
334,What is wrong with him?,Kí ló ṣe é?
335,"I don't even know, he's been crying since morning","Mi ò mọ̀, láti àárọ̀ ló ti ń sunkún"
337,What of his mom?,Màmá ẹ̀ ńkọ́?
338,She left since yesterday morning,Àti àárọ̀ àná ló ti jáde
340,Have you tried to give him something to eat?,Ṣé ẹ ti gbìyànjú láti fún ún lóúnjẹ?
341,"He's not taking anything, he refused to eat","Kò gba nǹkankan, ó kọ̀ láti jẹun"
343,Should we just go to the hospital?,Ṣé kí a lọ sí ilé ìwòsàn
344,I'm a nurse I feel it's just fever,"Nọ́ọ̀sì ni mí, ibà lásán ni mo rò pé ó jẹ́"
345,It's not something too serious,Kìí ṣe nǹkan tí ó le jù
347,So what do we do now?,Kí ni kí á ṣe báyìí?
348,Do you have paracetamol at least?,Ǹjẹ́ ẹ ní parasítámọ̀?
350,I mean the one for babies,Èyí tí wọn ṣe fún ọmọdé ni mò ń sọ
351,I don't know about that,Mi ò mọ̀ nípa ìyẹn
352,I'm sure there should be,O yẹ kí ó wà
353,Check his drugs,Ẹ yẹ oògùn rẹ̀ wò
354,John? How did he find me on Facebook?,John? Báwo ló ṣe wá mi rí lórí Fesibúùkù?
355,"Okay, let's hear what he has to say","Ó dáa, jẹ́ kí á gbọ́ ohun tí ó ní láti sọ"
356,My number?,Nọ́mbà mi?
358,So fast,Kíákíá ni
359,(Phone conversation),(Ìtàkùrọ̀sọ lórí ẹ̀rọ ìbánisọ̀rọ̀)
360,"Dear, the washing machine is faulty so I'm thinking of doing the laundry manually","Ìfẹ́ mi, ẹ̀rọ ìfọsọ tí bàjẹ́ mo dẹ̀ ń rò ó pé kí n fọwọ́ fọ aṣọ"
361,Do you want me to do yours too?,Ṣé kí n bá ẹ fọ tìẹ náà?
362,Just do whatever it is that you like?,Ṣáá ṣe ohun tí o bá wù ẹ́?
363,"Oh, okay",Ó dáa
364,Are you on the phone,Ṣé ò ń ṣe nǹkan lórí ẹ̀rọ ìbánisọ̀rọ̀
365,Yes I am and you are disturbing me right now,"Bẹ́ẹ̀ ni, o dẹ̀ ti ń ni mí lára báyìí"
366,Who are you talking to?,Ta ni ò ń bá sọ̀rọ̀
367,Oh sorry! I forgot you told me not to ask you again,Pẹ̀lẹ́! Mo ti gbàgbé pè o ní kí n má máa bèèrè mọ́
368,I'll just go and do the...,Mà á kàn lọ ṣe….
369,I got the pink one too,Mo rí píǹkì yẹn náà
370,Why is he acting like an idiot?,Kílódé tí ó ṣe ń hùwà bí i òmùgọ̀
371,"I'm on the phone, is it not obvious that I am on the phone?","Mo wà lórí aago, ṣé kò rí i ni?"
372,(Phone conversation),(Ìtàkùrọ̀sọ lórí ẹ̀rọ ìbánisọ̀rọ̀)
373,"So tell me, you're actually the landlord of that house?","Sọ fún mi, Ìwọ lo ni ilé yẹn?"
374,"Yeah, I own that property and a few outside of town","Bẹ́ẹ̀ ni, èmi ni mo ni ilé yẹn àti àwọn mìíràn lẹ́yìn odi ìlú"
