,English,Yoruba
50,"Where does the moon go? or ""Are the stars always in the same place at the same time?"".","Níbo ni òṣùpá máa ń lọ? tàbí ""Ǹjẹ́ àwọn ìràwọ̀ fi ibìkan kan ṣoṣo ṣebùgbé lẹ́ẹ̀ẹ̀kan náà?"""
51,"We started to realize that we could observe and experiment, and that many of the ancestral communities","A bẹ̀rẹ̀ sí ní rí i wípé a lè ṣe ìwádìí ìjìnlẹ̀, àti pé ọ̀pọ̀ àwọn ìlú ìgbàanì"
52,had already asked these questions and that there is a knowledge of the sky,ti ṣèbéèrè wọ̀nyí ńigbàkan rí ati wípé wọ́n sì mọ̀ nípa sánmà
53,in their Cosmogony and their Cosmo vision.,nínú ìmọ̀ ìṣẹ̀dá ayé àti ìrísí ilé ayé.
54,"Today, we are risking to lose many of these ways of seeing the world,","Lóde òní, àfàìmọ̀ kí a má sọ àwọn àìmọye ìrísí àgbà-ńlá-ayé wọ̀nyí nù,"
55,we are losing a cultural heritage that has to do with the knowledge,à ń pàdánù àwọn àṣà àjogúnbá tí ó rọ̀ mọ́ ìmọ̀ ìjìnlẹ̀
56,about the sky of many ancestral communities.,nípa ojú-ọ̀run ọ̀pọ̀ ìlú ìgbàanì.
57,"Therefore, the objective of my work is to carry out an intercultural dialogue","Nítorí náà, kókó iṣẹ́ ìwádìí mi ni láti jọ́jọ̀ pẹ̀lú onírúurú àṣà"
58,"between the Historical Astronomical Instruments, as mediator,","láàárín àwọn ẹ̀rọ ìwádìí ojú-ọ̀run ìgbàanì, bí onílàjà,"
59,and students of the Mother Earth’s Bachelor in Education.,àti akẹ́kọ̀ọ́ àkàwé-gboyè ilẹ̀-ayé nínú ètò ẹ̀kọ́.
60,"I am currently studying in Brazil and the Mother Earth Bachelor's Degree in Education is in Colombia,","Mò ń kàwé ní Brazil mo sì ń kàwé gboyè Ilẹ̀-Ayé ní Colombia lọ́wọ́ lọ́wọ́,"
61,"with students from different indigenous communities of the country, with whom I intend to carry out an intercultural dialogue","pẹ̀lú àwọn akẹ́kọ̀ọ́ láti àwọn ìlú àtijọ́, ti mo gbèrò láti bá jíròrò àṣà "
62,so that they begin to investigate their roots and knowledge,kí wọ́n ba ṣèwádìí sí orísun wọn àti kí ìmọ̀
63,about the sky and the Mother Earth do not get lost,nípa ojú-ọ̀run àti ilẹ̀-ayé má ba à sọnù.
64,"Hello! Think about your favorite dish. Try to remember the smell, the taste.",Báwo! Ronú nípa oúnjẹ àyànfẹ́. Gbìdánwò láti rántí òórùn àt’adùn-un rẹ̀.
65,Now imagine that this taste is not very good,"Ní báyìí, rò ó wípé aadun oúnjẹ yìí ò dára tó."
66,You will probably think that the food is spoiled,Wà á lérò wípé oúnjẹ náà ti bàjẹ́
67,or that the cook did something wrong and put something that should not be there,tàbí wípé àsè ṣèṣì fi ohun tí ò tọ́ sínúu rẹ̀.
68,Many animals also have favorite foods,Ọ̀pọ̀ ẹranko ló ní oúnjẹ àyànfẹ́
69,"and they are able to detect the substances that are in these foods,","wọ́n sì lè mọ èròjà inú oúnjẹ wọ̀nyí,"
70,often better than us.,papàá ju èèyàn lọ.
71,One of the substances we consume without realizing it is the heavy metals.,Ọ̀kan lára ohun tí à ń jẹ láì mọ̀ ni àwọn irin wúwo.
72,"Heavy metals are chemical elements used by the industry,","Irin wúwo jẹ́ gbòógì ohun-èlò nílé iṣẹ́ ńláńlá,"
73,"mainly for the extraction of ore and in the production of electrical and electronic equipment,","pàtàkì fún ìfàjáde irin-ilẹ̀ àti fún ohun-èlò àti ẹ̀rọ iná mànàmáná ṣíṣe,"
74,such as your cell phone for example.,bí ẹ̀rọọ̀ ìbánisọ̀rọ̀ ìléwọ́ọ̀ rẹ fún àpẹẹrẹ.
75,The problem is that heavy metals are toxic and,Ìṣòro ibẹ̀ ni pé irin wúwo ń ṣ'àkóbá àti wípé
76,"they can cause a lot of damage to your health, including cancer.","wọ́n máa ń fa ìpalára ìleraà rẹ, pẹ̀lú àìsàn jẹjẹrẹ."
77,"When they are not disposed of correctly, these heavy metals reach the rivers, and by the rivers","Bí a ò bá dà wọ́n nù lọ́nà tó yẹ, awọn irin wúwo wọ̀nyí yóò d'ódò, àti láti odò "
78,they are transported to the sea.,wọn yó sì gb'odò dé òkun.
79,"But before that, they pass through an ecosystem known as mangrove.","Àmọ́ k'ó tó di bẹ́ẹ̀, wọn yó la àárín irà kọjá."
80,"Mangroves are often remembered as muddy,","Ẹrẹ̀ la fi ń ṣèrántí irà,"
81,"smelly and mosquito-filled environments, aren’t they?","agbègbè olóòórùn àt'ọ̀pọ̀lọpọ̀ ẹ̀fọn, àbí bẹ́ẹ̀kọ́?"
82,"However, mangroves produce food and they are the nursery","Síbẹ̀, irà ń pèsè oúnjẹ àti ibi ìdàgbàsókè"
83,for a wide variety of fish and seafood.,fún onírúurú ẹja àti ẹranko inú omi.
84,My name is João and it is in the Brazilian mangroves that I develop my research.,Orúkọọ̀ mi ni João àti wípé nínú irà ìlú Brazil ni mo ti ṣiṣẹ́ ìwádìí-ìjìnlẹ̀ mi.
85,I want to know how much of the heavy metals that come from the rivers,Mo fẹ́ ní ìmọ̀ pípé nípa iye irin wúwo tó la odò kọjá
86,"will be trapped in the mangrove mud, absorbed by the roots of the trees,","ṣe há sínú ẹrọ̀fọ̀ inu irà, tí gboungbo igi irà yó sì fà á mu,"
87,"transported to the leaves and transferred to herbivorous animals that consume them,","tí yóò sì darí sí ara ewé àti ẹranko tí í j'ewé,"
88,such as crabs.,bí i alákàn.
89,And could a crab distinguish between a contaminated leaf ,Ǹjẹ́ alákàn lè mọ ìyàtọ̀ láàárín ewé alábàwọ́n
90,and a leaf not contaminated by heavy metals?,àti ewé tí ò ní àbàwọ́n irin wúwo bí?
91,That's another question of my research.,Ìbéèrè ìwádìí mìíràn ni eléyùn-un.
92,But why is this important?,Ṣùgbọ́n kí ni pàtàkìi rẹ̀?
93,Crabs are the favorite food of a wide variety of animals,Akàn jẹ́ oúnjẹ àyànfẹ́ onírúurú ẹranko
94,and of many human populations around the world.,àti fún ogunlọ́gọ̀ ọmọ ènìyàn kárí ayé.
95,"In Brazil, it is estimated that a person consumes twelve kilos of seafood","Ní ilẹ̀ Brazil, ó kéré jù ẹnìkan yó jẹ kílò ẹranko-inú-omi méjìlá"
96,(including crabs) over a year.,(àti akàn) nínú ọdún kan.
97,"So, the amount of heavy metals that these animals consume","Torí náà, iye irin wúwo tí àwọn ẹranko wọ̀nyí ń jẹ"
98,is the amount of heavy metals that we are consuming,ni iye irin wúwo tí àwa náà ń kó jẹ
99,"and unfortunately, are not realizing it. Thank you.","Ó ṣe-ni-láàánú, a ò rí i rò. Ẹ ṣeun."
100,Do you have the habit of cooking at home? Have you ever tried to reproduce any family recipe?,Ǹjẹ́ o máa ń se oúnjẹ ní ilé bí? Ǹjẹ́ o ti gbìdánwò rẹ láti se atunṣe ìlànà ìgbọ́únjẹ ìdílé?
101,"Studies have shown that people are spending less and less time in the kitchen,","Ìwádìí fi hàn pé ìgbà díẹ̀ ni àwọn èèyàn ń lò nílé ìdáná,"
102,either due to the greater supply of ready-to-eat foods,bóyá nítorí oúnjẹ-àsèsílẹ̀ tó ti wá pọ̀
103,"in supermarkets, or because of the lack of time or still due to the decrease ","nílé ìtajà-ìgbàlódé, àbí nítorí àsìkò tí ò sí àbí látorí ìdínkù"
104,in the transmission of culinary knowledge from parents to their children.,ìmọ̀ ẹ̀kọ́ oúnjẹ ṣíṣe láti ọwọ́ òbí sí ọmọ.
105,What people don’t know is that the habit of cooking at home,Ohun tí àwọn èèyàn ò mọ̀ ni wípé asa kí a máa se oúnjẹ nílé
106,is related to a healthier diet.,bá oúnjẹ àṣaralóore tan.
107,"That is, those who cook more at home, tend to consume healthier foods and, on the other hand,","Ìyẹn ni wípé, àwọn tó máa ń se oúnjẹ nílé, máa ń jẹ oúnjẹ àṣaralóore àti lọ́nà kejì,"
108,"consume less processed foods, those rich in sugars, trans fats, salt and additives","ìjẹkújẹ oúnjẹ á dínkù, àwọn àdídùn, ọ̀rá àìlera, iyọ̀ àti àwọn àfikún-àtọwọ́dá"
109,which are those incomprehensible numbers or words on food labels.,ìyẹn àwọn àìmọye òǹkà àti ọ̀rọ̀ lórí èdìdì oúnjẹ.
110,"In 2014, the Brazilian Ministry of Health published a new edition of the Food Guide for the Brazilian Population,","Lọ́dún-un 2014, àjò tó ń rí sí ìlera ìlú Brazil tẹ ẹ̀dà ìwé ìlànà oúnjẹ fún ọmọ ìlú Brazil,"
111,"and, in this official document, recommends to develop and share the culinary skills among the people.","àti pé, ń'nú ìwé àṣẹ yìí, a fi lé e láti ṣe àti pín ìmọ̀ ẹ̀kọ́ oúnjẹ láàárín àwọn èèyàn."
112,So we need to cook more.,Ni a fi ní láti máa se oúnjẹ dáadáa.
113,"And like all skills, the ability to prepare food is improved when practiced.","Bí ìmọ̀ gbogbo, bí a bá ṣe ń s'oúnjẹ sí la ó ṣe mọ̀ ọ́ sè sí."
114,"The purpose of my thesis was to adapt, apply and evaluate a culinary intervention program","Lájorí iṣẹ́ ìwádìí mi ni láti yá, mú lò àti ṣ'àgbéyẹ̀wò ètò ìdásí oúnjẹ sísè"
115,with university students in Brazil.,pẹ̀lú àwọn akẹ́kọ̀ọ́ Ifásitì Brazil.
116,"But, you must be wondering, why university students?","Ṣùgbọ́n, yó yanilẹ́nu, èé ṣe tí ó jẹ́ akẹ́kọ̀ọ́ Ifásitì?"
117,We chose to work with this population,A pinnu láti lo àwọn wọ̀nyí
118,because these young people are going through a transition,nítorí wípé àwọn ọ̀dọ́ yìí ń ti
119,period from adolescence to adulthood.,ipò ọ̀dọ́ s'ágbà kọjá.
120,And generally they consume less healthy foods.,Pàápàá jù lọ wọn kì í j'oúnjẹ aṣaralóore.
121,"For the research, an adaptation of a cooking program from the United States to the Brazilian reality was made,","Fún ìwádìí náà, a ṣe àyálò ètò oúnjẹ sísè láti ìlú United States fún ọmọìlú Brazil, "
122,being called Nutrition and Cooking in the Kitchen.,tí a pè ní Ìṣaralóore àti oúnjẹ sísè nílé ìdáná.
123,This program was tested with students from a public university in southern Brazil.,A dán ètò yìí wò pẹ̀lú àwọn akẹ́kọ̀ọ́ Ifásitì ìjọba ti Gúúsù Brazil.
124,They participated for two months in five culinary workshops and a visit to the market.,Oṣù méjì gbáko ni wọ́n fi kọ́ bí a ṣe ń s'oúnjẹ a sì ṣe ìbẹ̀wò sí ọjà.
125,"During this period, young people learned basic cooking and healthy eating, ","Lásìkò yìí, àwọn ọ̀dọ́ kọ́ nípa ìpilẹ̀ṣẹ̀ oúnjẹ sísè àti oúnjẹ aṣaralóore, "
126,"learned how to select and buy fresh food, and how to prepare and taste healthy food.","bí a ti ń ṣ'àṣàyàn àti ra oúnjẹ tútù, àti sísè àti ìtọ́wò oúnjẹ aṣaralóore."
127,"As a result, we now have a program in the country that can be used for the development of","Níparí, a ṣe ìlànà ètò tí orílẹ̀ - èdè lè lò fún ìdàgbàsókè"
128,"culinary skills with university students, and can be used for other audiences as well.","ìmọ̀ ẹ̀kọ́ oúnjẹ sísè pẹ̀lú àwọn akẹ́kọ̀ọ́ Ifásitì, tí a sì lè lò fún ìlú mìíràn bákan náà."
129,"In addition, the program can contribute to the development of public policies","Láfikún, èto nì bùkún iṣẹ́ ìdàgbàsókè ìlú"
130,that seek to promote healthy eating through cooking.,tí ń gbèrò láti ṣe ìgbélárugẹ jíjẹ oúnjẹ aṣaralóore nípasẹ̀ sísè.
131,And now I challenge you: Let's cook more?!,Wàyí mo pe ọ́ 'níjà: jẹ́ ká máa s'oúnjẹ sí?!
132,Assessing Your Risks,Ṣíṣe Ìdíyelé Ewuù Rẹ
133,Last reviewed:,Ìtúnwò Ìkẹyìn:
134,Trying to protect all your data from everyone all the time is impractical and exhausting.,Ìgbìyànjú láti dá ààbò bo ìwífún kí ó ba máà bọ́ s'ọ́wọ́ ẹlòmíràn ní gbogbo ìgbà kò fi bẹ́ẹ̀ rọrùn.
135,"But, do not fear! Security is a process, and through thoughtful planning, you can assess what’s right for you.","Ṣùgbọ́n, máà fòyà! Ìgbésẹ̀ ni ààbò, àti pé nípasẹ̀ àlàálẹ̀ tó p'ójú òṣùwọ̀n, o lè ṣe ìdíyelé ohun tí ó dára fún ọ."
136,Security isn’t about the tools you use or the software you download.,Ààbò kì í ṣe nípa irinṣẹ́ tí o lò tàbí iṣẹ́-àìrídìmú tí o gba ẹ̀dàa rẹ̀ sílẹ̀.
137,It begins with understanding the unique threats you face and how you can counter those threats.,Ó bẹ̀rẹ̀ pẹ̀lú ìwòye ìdẹ́rùbà ní pàtó tí ó kojúù rẹ àti bí o ṣe lè borí ìdẹ́rùbà ọ̀hún.
138,"In computer security, a threat is a potential event that could undermine your efforts to defend your data.","Nínú ààbò ẹ̀rọ-ayárabíàṣá, ìdẹ́rùbà jẹ́ ìṣẹ̀lẹ̀ kan tó lè tako akitiyan ààbò dátà rẹ."
139,You can counter the threats you face by determining what you need to protect and from whom you need to protect it.,O lè gbógun ti ìdẹ́rùbà tí ó bá kojúù rẹ nípa pípinnu ohun tí o nílò láti dá ààbò bò àti tani o ní láti bò ó fún.
140,"This process is called “threat modeling""","Ìgbésẹ̀ yìí ni a pè ní ""àwòṣe ìdẹ́rùbà."""
141,"This guide will teach you how to threat model, or how to assess your risks for your digital information and how to determine what solutions are best for you.","Ìtọ́nà yìí yóò kọ́ ọ bí o ṣe lè ṣ'àwòṣe ìdẹ́rùbà, tàbí bí o ṣe lè ṣe ìdíyelé ewuù rẹ fún ìwífún-ùn rẹ àti bí o ṣe lè mọ ìgbésẹ̀ tí ó tọ́ sí ọ."
142,"What might threat modeling look like? Let’s say you want to keep your house and possessions safe, here are a few questions you might ask:","Báwo ni àwòṣe ìdẹ́rùbà ṣe lè rí? K’á ní wípé o fẹ́ dá-ààbò-bo ilé àti nǹkan-ìníì rẹ, ìwọ̀nyí ni ìbéèrè tí o lè bí araà rẹ:"
143,What do I have inside my home that is worth protecting?,Kí ni mo ní nínú iléè mi tí ó yẹ kí n dá ààbò bò?
144,"Assets could include: jewelry, electronics, financial documents, passports, or photos","Nǹkan-ìní lè jẹ́: ẹ̀ṣọ́, ẹ̀rọ ilé gbogbo, ìwé-owó, ìwé-ìrìnnà tàbí àwòrán"
145,Who do I want to protect it from?,Nítorí tani ni mo ṣe fẹ́ ṣe ìdáààbòbò?
146,"Adversaries could include: burglars, roommates, or guests","Ọ̀tá lè jẹ́: fọ́léfọ́lé, alábàágbé, tàbí àlejò."
147,How likely is it that I will need to protect it?,Báwo ni ó ṣe pọn dandan tó fún mi láti dáàbò bò ó?
148,Does my neighborhood have a history of burglaries?,Ǹjẹ́ aládùúgbò ní ìṣẹ̀lẹ̀-àtẹ̀yìnwáa ìfọ́lé?
149,How trustworthy are my roommates/guests?,Ǹjẹ́ alábàágbéè mi/àlejò jẹ́ olùfọkàntàn?
150,What are the capabilities of my adversaries?,Báwo l’agbára ọ̀táà mi ṣe tó?
151,What are the risks I should consider?,Àwọn ewu wo ló yẹ kí n gbéyẹ̀wò?
152,How bad are the consequences if I fail?,Báwo ni ìpalára yóò ṣe tó bí a bá kùnà?
153,Do I have anything in my house that I cannot replace?,Ǹjẹ́ mo ní nǹkankan nínú ilé tí n kò le è pààrọ̀ọ rẹ̀?
154,Do I have the time or money to replace these things?,Ǹjẹ́ mo ní àkókò tàbí owó láti pààrọ̀ nǹkan wọ̀nyí?
155,Do I have insurance that covers goods stolen from my home?,Ǹjẹ́ mo ní àǹfààní adójútòfò fún ẹrù tí a bá jí nínú iléè mi?
156,How much trouble am I willing to go through to prevent these consequences?,Wàhálà mélòó ni mo lè là kọjá láti fi ààbò fún ìpalára wọ̀nwọ̀nyí?
157,Am I willing to buy a safe for sensitive documents?,Ǹjẹ́ mo fẹ́ ra àpótí-ìpamọ́ fún ìwé tó ṣe kókó?
158,Can I afford to buy a high-quality lock?,ṣe mo lè ra ojúlówó àgádángodo bí?
159,Do I have time to open a security box at my local bank and keep my valuables there?,Ǹjẹ́ mo ní ààyè láti ṣí àpótí ààbò sílé ìfowópamọ̀ fún ìkópamọ́ nǹkan owó iyebíyeè mi?
160,"Once you have asked yourself these questions, you are in a position to assess what measures to take. ","Ní kété tí o bá ṣe ìbéèrè wọ̀nyí, ó ní ààyè láti díyelé ọ̀nà tí o ó gbà."
161,"If your possessions are valuable, but the risk of a break-in is low, then you may not want to invest too much money in a lock.","Bí nǹkan-ìníì rẹ bá jẹ́ iyebíye, ṣùgbọ́n ewu ìfọwọ́lé dínkù, o lè máà fẹ́ náwó tó pọ̀ sórí àgádángodo."
162,"But, if the risk is high, you’ll want to get the best lock on the market, and consider adding a security system.","Àmọ́, bí ewú bá gara tó bẹ́ẹ̀, o máa fẹ́ ra àgádángodo tó ń bẹ lọ́jà, àti ríra ẹ̀rọ ìdáààbòbò."
163,"Building a threat model will help you to understand threats that are unique to you and to evaluate your assets, your adversaries, and your adversaries' capabilities, along with the likelihood of risks you face.","Kíkọ́ àwòṣe ìdẹ́rùbà yóò mú ọ lóye ìbẹ̀rù tí ó bá ọ mu àti láti ṣ'àyẹ̀wò nǹkan-ìníì rẹ, ọ̀táà rẹ àti akitiyan ọ̀táà rẹ, pẹ̀lú irú ewu tí ó ń kojúù rẹ."
164,What is threat modeling and where do I start?,Kín ni àwòṣe ìdẹ́rùbà àti níbo ni kí n ti bẹ̀rẹ̀?
165,"Threat modeling helps you identify threats to the things you value and determine from whom you need to protect them. When building a threat model, answer these five questions:","Àwòṣe ìdẹ́rùbà á ràn ọ́ lọ́wọ́ láti dá ìdẹ́rùbàni mọ̀ àti pé yóò tọ́ka sí ẹni tí ó yẹ kí o pa araà rẹ mọ́ fún. Bí o bá ń kọ́ àwòṣe ìdẹ́rùbà, dáhùn ìbéèrè márùn-ún wọ̀nyí :"
166,1.What do I want to protect?,1. Kí ni mo fẹ́ fi ààbò bò?
167,2.Who do I want to protect it from?,2. Ta ni mo fẹ́ pa á mọ́ fún?
168,3.How bad are the consequences if I fail?,3. Báwo ni ìpalára yóò ṣe tó bí n kò bá dá ààbò bò ó?
169,4.How likely is it that I will need to protect it?,4. Báwo ló ṣe jẹ́ kókó fún mi láti dá ààbò bò ó?
170,5.How much trouble am I willing to go through to try to prevent potential consequences?,5. Wàhálà mélòó ni mo lè là kọjá láti máà jẹ́ kí ìpalára ó wáyé?
171,Let’s take a closer look at each of these questions.,Kí a gbé ìbéèrè yìí yẹ̀ wò fínnífínní.
172,What do I want to protect?,Kí ni mo fẹ́ dá ààbò bò?
173,An “asset” is something you value and want to protect.,Ohun-ìní ni ohun tí ó jẹ́ ti iyebíye tí a sì fẹ́ dá ààbò bò.
174,"In the context of digital security, an asset is usually some kind of information. ","Ní ti ààbò ẹ̀rọ-ayárabíàṣá, ohun-ìní jẹ́ oríṣi ìwífún kan."
175,"For example, your emails, contact lists, instant messages, location, and files are all possible assets. ","Fún àpẹẹrẹ, ímeèlì rẹ, alábàáṣe, iṣẹ́-ìjẹ́ esẹ̀kẹ̀sẹ̀, agbègbè rẹ àti fáìlì rẹ jẹ ohun-ìní tó ṣe kókó."
176,Your devices may also be assets.,Ohun-ìní ni ẹ̀rọ-ayárabíàṣá rẹ náà.
177,"Make a list of your assets: data that you keep, where it’s kept, who has access to it, and what stops others from accessing it.","Ka ohun-ìníì rẹ sílẹ̀: dátà tí o kọ pamọ́, ibi tí o kó o pamọ́ sí, ẹni tí ó lè lò ó àti àsémọ́ tí ò ní fi àyè gba ẹlòmíràn láti lò ó."
178,Who do I want to protect it from?,Ta ni mo fẹ́ fi pamọ́ fún?
179,"To answer this question, it’s important to identify who might want to target you or your information.","Láti dáhùn ìbéèrè yìí, ó pọn dandan láti dá ẹni tó lè fẹ́ takóró wọnú ìwífún-un rẹ ṣeṣẹ́ ibi."
180,A person or entity that poses a threat to your assets is an “adversary.”,Ọ̀tá ni ènìyàn tí ó jẹ́ ìdẹ́rùbà sí ohun-ìníì rẹ.
181,"Examples of potential adversaries are your boss, your former partner, your business competition, your government, or a hacker on a public network.","Àpẹẹrẹ ọ̀tá ni ọ̀gáà rẹ, olólùfẹ́ẹ̀ rẹ ti tẹ́lẹ̀, oníṣòwò ẹlẹgbẹ́ẹ rẹ̀, ìjọbaà rẹ, tàbí olè orí-ayélujára lórí ìṣàsopọ̀ gbogboògbò."
