,English,Yoruba
22,One cannot be as wise as “I-am-the-owner.”,A kì í gbọ́n tó “Èmi-lóni-í.”
23,One is never as wise as the person deceiving one.,A kì í gbọ́n tó ẹni tí ń tannijẹ.
24,One cannot be as wise as “Thus-will-I-do-my-thing.”,A kì í gbọ́n tó Báyìí-ni-n-ó-ṣe-nǹkan-mi.
25,One does not so luxuriate in one's majesty that one shits on oneself.,A kì í jayé ọba ká ṣu sára.
26,One does not bear the title of gatekeeper even until night time.,A kì í jẹ oyè ẹnu ọ̀nà kalẹ́.
27,One does not live fashionably on borrowed money.,A kì í kó èlé ṣẹ̀ṣọ́.
28,One does not so hate the bush rat that one sets one's farm hut alight.,A kì í kórìíra ọ̀fọ́n-ọ̀n ká finá bọ ahéré.
29,One does not teach an elder that what has been crushed should remain crushed.,A kì í kọ́ àgbàlagbà pé bó bá rún kó rún.
30,One does not divorce a horse rider and go marry a pedestrian.,A kì í kọ ẹlẹ́ṣin ká tún lọ fẹ́ ẹlẹ́sẹ̀.
31,One does not shoosh the mouse in one's house and break one's hand.,A kì í lé èkúté ilé ẹni ká fọwọ́ ṣẹ́.
32,One does not treat one's own sore and yet cry from the pain.,A kì í mọ́ egbò fúnra ẹni ká sunkún.
33,One does not presume to know Òjó's mother better than Òjó himself does.,A kì í mọ ìyá Òjó ju Òjó lọ.
34,One does not presume to know the way to or around a garden better than the owner of the garden; one always follows the person who brought one.,A kì í mọ ọ̀nà ọgbà ju ọlọ́gbà lọ; ẹní múni wá là ń tẹ̀lé.
35,One never knows how to present it like the owner of the case.,A kì í mọ̀ ọ́n rò bí ẹlẹ́jọ́.
36,One does not farm a plot by the road and neglect its care; every dog and goat would ridicule one.,A kì í mú oko lọ́nà ká ṣèmẹ́lẹ́; tajá tẹran ní ń búni.
37,One does not offer to second a combatant in spite of one's negligible strength.,A kì í ní agbára kékeré ṣe èkejì.
38,One does not know that one has covetousness; it is one's kin who so inform one.,A kì í ní ọ̀kánjúwà ká mọ̀; ará ilé ẹni ní ń sọ fúnni.
39,One does not summon the wife and so involve the go-between.,A kì í pe ìyàwó kó kan alárenà.
40,One does not enjoy the designation “He Goat” and yet sport a smooth (horn-less) head.,A kì í peni lákọ ẹran ká ṣorí bòró.
41,One does not join a monkey in roaming the bush.,A kì í pẹ̀lú ọ̀bọ jáko.
42,One does not conclude for the person who says “Ẹ̀ẹ́dẹ́ . . .”,A kì í ṣíwájú ẹlẹ́èẹ́dẹ́.
43,One does not get out of the way for “I used to ride a horse!”,A kì í yàgò fún “Mo gun ẹṣin rí o!”
44,One does not get out of the way for a person who rode a horse yesterday.,A kì í yàgò fún ẹlẹ́ṣin àná.
45,"We group yams in lots and the fruit of the sausage tree drops among them; does it count as complement to a lot, or as gratuity?",A léṣu sílẹ̀ páńdọ̀rọ̀ọ́ já lù ú; èlé mbénì?
46,One helps to catch a chicken and scrapes one's knees; having laid one's hands on the chick will one not hand it over to the owner?,"À ń báni mú adìyẹ à ń forúnkún bó; bọ́wọ́ bá ba òkókó, a ò ní fún aládìyẹ?"
47,"One shows deference to the dog's owner, and the dog thinks the deference is to it.","À ń bẹ̀rù alájá, ajá ṣebí òun là ń bẹ̀rù."
48,"His hand is being severed, yet he is slipping on a ring.","À ń gé e lọ́wọ́, ó ń bọ́ òrùka."
49,"One seeks a person with a prominent back as suitor for one's daughter, and the humpback presents himself; who spoke of protruding back?","A ní ká wá ẹni tó lẹ́yìn ká fọmọ fún, abuké ní òun rèé; ti gànnàkù ẹ̀yin rẹ̀ là ń wí?"
50,"People say that Tanlúkú is a poor dancer, and Tanlùkù comes to his aid.","A ní Tanlúkú ò mọ̀ ọ́n jó, Tàǹlukú wá gbè é lẹ́sẹ̀."
51,"His loincloth is being stripped from behind, yet he is stripping those of the people ahead of him.","À ń já ìbàǹtẹ́ ẹ̀ lẹ́yìn, ó ń já tará iwájú."
52,We speak of stealing and a pregnant woman intervenes; she herself is concealing a whole person.,"À ń sọ̀rọ̀ olè, aboyún ń dáhùn; odiidi èèyàn ló gbé pamọ́."
53,We lament Awúgbó's plight; Awúgbó does not lament his own plight.,"À ń sunkún Awúgbó, Awúgbó ò sunkún araa ẹ̀."
54,We seek a person to give a child to (in marriage) and a worthless person presents himself.,"À ń wá ẹni tí a ó fọmọ fún, olòṣì ń yọjú."
55,"People are scheming to shake an imbecile from their company, and he asks that they wait for him on reaching the bank of the river.","À ń wọ́nà àti fi aṣiwèrè sílẹ̀, ó ní bí a bá dé òkè odò ká dúró de òun."
56,Without having a wife a person spares oóyọ́  to grow; if it flourishes it is destined to be food for goats.,A ò lóbìnrin à ń dá oóyọ́ sí; bí a bá dá oóyọ́ sí ewúrẹ́ ni yóò jẹ ẹ́.
57,One does not know what the seller of gbégbé leaves was selling before she started complaining about the slow market.,A ò mọ ohun tí eléwée gbégbé ń tà kó tó sọ pé ọjà ò tà.
58,One does not know what Dárò owned before he claimed to have been robbed.,A ò mọ ohun tí Dáròó ní kó tó wí pé olèé kó òun.
59,"You are described as the child of the elephant that swallows coconuts, and you rejoice; are you the one who swallows coconuts?",A pè ọ́ lọ́mọ erín-màgbọn ò ń yọ̀; ìwọ pàápàá ló mì í?
60,"“Its likes have been seen before,” is what the host says; “No one has ever seen its likes before,” is what the guest says; if the host says that we should empty the plate, the guest should argue for leaving a little.","A rí èyí rí ni tonílé; a ò rí èyí rí ni tàlejò; bónílé bá ní ká jẹ ẹ́ tán, àlejò a ní ká jẹ ẹ́ kù."
61,We saw other trees in the bush before we settled on ọ̀mọ̀ for making drums.,A rígi lóko ká tó fi ọ̀mọ̀ gbẹ́ ìlù.
62,"The funeral is over, but the calabash beater does not take his leave; does he want to inherit a wife?","A sìnkú tán, alugbá ò lọ́ ó fẹ́ ṣúpó ni?"
63,The termite is only striving; it can never eat a rock.,Àbá ni ikán ń dá; ikán ò lè mu òkúta.
64,A guest does not warm himself by the fire; a priest or priestess does not sleep in the cold; a delicate egg does not live in a crowd; the same house was built for all three.,A-báni-gbé kì í yáná; a-bọ̀rìṣà kì í sun òtútù; ẹyin gẹ́gẹ́ kì í gbé àwùjọ́; ilé kan náà ni wọ́n kọ́ fún àwọn mẹ́tẹ̀ẹ̀ta.
65,He-who-eats-with-one-without-self-restraint; he breaks off morsels like his mother's senior.,"A-báni-jẹun-bí-aláìmọra, ó bu òkèlè bí ẹ̀gbọ́n ìyá ẹ̀."
66,He who asks the way does not lose his way.,Abèèrè ò̩nà kì í ṣìnà.
67,A-child-that-was-never-taught-how-to-behave; a-child-that-was-taught-but-that-refused-to-heed-instruction; it is from outside the home that he will learn wisdom.,À-bí-ì-kọ́; à-kọ́-ì-gbà; òde ló ti ń kọ́gbọ́n wálé.
68,A volatile-tempered person secures food for a mild-tempered person.,A-binú-fùfù ní ń wá oúnjẹ fún a-binú-wẹ́rẹ́-wẹ́rẹ́.
69,A pregnant woman does not dance to bẹ̀m̀bẹ́ music; pendulous-stomached woman.,Aboyún kì í jó bẹ̀m̀bẹ́; a-bodò-ikùn-kẹ̀rẹ̀bẹ̀tẹ̀.
70,Half a snake does not live in a burrow.,Àbọ̀ ejò kì í gbé isà.
71,"The arrogant person is not arrogant for nothing; if his mother is not wealthy, his father must be rich.","Abùlàǹgà kì í ṣasán; bíyàá ò lọ́rọ̀, baba a lówó lọ́wọ́."
72,Mouse-that-does-not-know-its-place; it says that since the day the cat delivered (a baby) it has not gone to offer congratulations.,Abùléra ọ̀fọ́n-ọ̀n; ó ní ọjọ́ tí ológbòó ti bí òun ò ì tíì dá a ní báríkà.
73,The younger person does not give the older person history lectures.,Àbúrò kì í pa ẹ̀gbọ́n nítàn.
74,"Your junior brother (or sister) buys clothing for you, and you say you will not wear anything with bean-grits patterns; who has the right to opt for clothing with a bean-fritter patterns?","Àbúrò rẹ ń dáṣọ fún ọ, o ní o ò lo elékuru; ta ní ń lo alákàrà?"
75,Start-something-it-cannot-finish dove that makes bombastic noises.,A-dá-má-lè-ṣe àdàbà tí ń dún bẹ̀m̀bẹ̀.
76,The white chicken does not recognize itself as an elder.,Adìyẹ funfun ò mọ ara ẹ̀ lágbà.
77,A chicken does not give birth to a multitude of chicks and die of the exertion.,Adìyẹ ò bí yọyọ kú yọ̀.
78,The chicken that shits and does not piss retains the rest in its body.,"Adìyẹ́ tó ṣu tí kò tọ̀, araa rẹ̀ ló kù sí."
79,"The red-flanked duiker, desperate to claim relationship, says that its mother was born of a crested duiker.",A-dìtan-mọ́ èsúó; ó ní èkùlù ló bí ìyá òun.
80,Death-feigning-beetle flirts with death.,Adígbọ́nránkú ń fikú ṣeré.
81,"The leper says he may not be able to squeeze out milk, but he can spill it.","Adẹ́tẹ̀ẹ́ ní òun ò lè fún wàrà, ṣùgbọ́n òún lè yí i dànù."
82,The leper sees a mad person and dashes into the bush.,"Adẹ́tẹ̀ẹ́ rí wèrè, ó kán lùgbẹ́."
83,"The leper said two things, one of them being a lie; he said after he had struck his child with his palm, he also pinched him severely with his nails.","Adẹ́tẹ̀ẹ́ sọ̀rọ̀ méjì, ọ́ fìkan purọ́; ó ní nígbà tí òún lu ọmọ òun lábàrá, òún já a léèékánná pàtì."
84,"The deaf does not hear,“Make way!”","Adití ò gbọ́, “Yàgò!”"
85,"Resisting-while-being-pulled is the proper behavior for a bride; if she is pulled and she does not resist, something is the matter with her.","À-fà-tiiri ni tìyàwó; bí a bá fà á tí kò tiiri, ó ní ohun tó ń ṣe é."
86,The only thing a slave cannot eat is something not available in the market.,Àfi ohun tí a kì í tà lọ́jà lẹrú kì í jẹ.
87,"Fashionable woman of Ààre, she cocks her oil jar with a rag, and she expects good people to buy oil from her.",Afínjúu Ààré; ó fi àkísà dí orùbà; ó ń wá ẹniire-é bá sú epo.
89,It is a finicky person that eats iwọ;  it is a sagacious person that eats kolanut; it is someone not squeamish about what he eats that eats awùsá.,Afínjú ní ń jẹ iwọ; ọ̀mọ̀ràn ní ń jẹ obì; màrí-màjẹ ní ń jẹ awùsá.
90,"Unusual-fashionable-person, the preener anoints herself with camwood without taking a bath.","Afínjúu póńpólà, ogé kun osùn láìwẹ."
91,The fashionable person enters the market and walks in a leisurely manner; the filthy person enters the market and walks in a sluggish manner; it is the filthy person that will carry the fashionable person's load to the house for him or her.,Afínjú wọ ọjà ó rìn gbẹndẹ́kẹ ọ̀bún wọ ọjà ó rìn ṣùẹ̀ṣùẹ̀; ọ̀bùn ní ó ru ẹrù afínjú relé.
92,The moth (that) tries to put out the barbecue fire: the meat becomes more plentiful.,Àfòpiná tó fẹ́ panáa súyà: ẹrán pọ̀ sí i.
93,The moth that attempts to kill (put out) the oil lamp will kill itself.,"Àfòpiná tó ní òun ó pa fìtílà, ara ẹ̀ ni yó pa."
94,"The blind person who shuts his eyes and says he is asleep, when he was not asleep whom did he see?","Afọ́jú tó dijú, tó ní òún sùn, ìgbàtí kò sùn ta ló rí?"
95,It is a person who is both incapable of thought and shameless that dances to bàtá music while in poverty.,A-fọ́nú-fọ́ra ní ńfi òṣì jó bàtá.
96,"The nimble, sprightly rat fell victim to the trap, how much more the sluggish, sickly mouse.","Àgó tó gbó ṣáṣá, ẹ̀bìtí pa á, áḿbọ̀sì olóósè a-bara-kùọ̀kùọ̀."
97,It is the person taller than another who shows no respect for the other.,Àgùnbánirọ̀ ní ń fojúdi ni.
98,A grown dog does not deface its skin.,Àgbà ajá kì í bàwọ̀jẹ́.
99,A muslim elder does not throw a sheet over his shoulder for clothing.,Àgbà ìmàle kì í káṣọ kọ́rùn.
100,An elderly person tried it “something” in the river Ògùn; the river goddess carried him away.,Àgbà kán ṣe bẹ́ẹ̀ lÓgùn; Yemo̩ja ló gbé e lọ.
101,A grown person does not scratch his buttocks in the early morning without showing some whiteness.,Àgbà kì í fàárọ̀ họ ìdí kó má kan funfun.
102,"An elderly person does not engage in the type of play that provokes the comment, “What brought all this about?”",Àgbà kì í ṣerée kí-ló-bá-yìí-wá?
103,An elderly person does not perform rituals like a youth.,Àgbà kì í ṣorò bí èwe.
104,An elder is not present at a market and permit a child's head to rest askew.,Àgbà kì í wà lọ́jà kórí ọmọ titun wọ́.
105,It is an empty barrel that is noisy; a sack full of money makes no sound.,Àgbá òfìfo ní ń pariwo; àpò tó kún fówó kì í dún.
106,An elder that has no substance should have cunning.,Àgbà tí kò lẹ́sẹ̀ nílẹ̀ a lọ́gbọ́n nínú.
107,It is an elder who does not know his limitations that is washed away by a river.,Àgbà tí kò mọ ìwọ̀n araa rẹ̀ lodò ń gbé lọ́.
108,"An elder without self-respect might as well have only one eye, that one eye being in the center of his forehead.","Àgbà tí kò nítìjú, ojú kan ni ìbá ní; ojú kan náà a wà lọ́gangan iwájúu rẹ̀."
109,"An elder courting disgrace, after his head has been shaved he says, “Now, how about shaving the beard (as a gratuity)?”","Àgbà tí yó tẹ̀ẹ́, bó fárí tán, a ní ó ku járá ẹnu."
Apr-00,An elder who insults a youth makes a present of his own insult.,Àgbà tó bú ọmọdé fi èébúu rẹ̀ tọrọ.
111,It is an elder who delivers himself unto youths that the youth will insult.,Àgbà tó fi araa rẹ̀ féwe lèwe ń bú.
112,An elder who is wary of disgrace will not play at stealing.,Àgbà tó mọ ìtìjú kì í folè ṣeré.
113,The elder who escapes into his inner chamber because of forty cowries: two hundred cowries are not enough for casual spending.,Àgbà tó torí ogójì wọ ìyẹ̀wù; igbawó ò tó ohun à-mú-ṣèyẹ.
114,"Borrowed trousers: if they are not too tight around the legs, they will be too loose; one's own things fit one exactly.","À-gbàbọ̀-ọ ṣòkòtò, bí kò fúnni lẹ́sẹ̀ a ṣoni; rẹ́múrẹ́mú ni ohun ẹni ń bani mu."
115,"The elders of the town will not assemble and eat the intestines of a bush-rat, only stale pounded yams.","Àgbààgbà ìlú ò lè péjọ kí wọn ó jẹ ìfun òkété, àfi iyán àná."
116,"Worthless elderly person who is eating corn gruel worth one tenth of a penny, he says he only wants the hot water on top of it.","Àgbà-ìyà tí ń mùkọ ọ̀níní, ó ní nítorí omi gbígbóná oríi rẹ̀ ni."
117,The elderly crab that enters into a bucket; it is thoroughly disgraced.,"Àgbàlagbà akàn tó kó sí garawa yègèdè, ojú tì í."
118,An elder should not behave in an unbecoming manner.,Àgbàlagbà kì í ṣe lágbalàgba.
119,An elder does not wash his hand and then decide to eat more.,Àgbàlagbà kì í wẹwọ́ tán kó ní òun ó jẹ si.
120,"An elder does not rejoice in a manner that would provoke, “What brought all this about?”",Àgbàlagbà kì í yọ ayọ̀ọ kí-ló-báyìí-wá?
121,An elder who does not greet the Ààrẹ tries a “hanging” rope for size.,Àgbàlagbà tí ò kí Ààrẹ ń fi okùn sin araa rẹ̀.
122,An elder who climbs palm-trees: if he crashes from the tree he will find himself in heaven.,"Àgbàlagbà tó ń gun ọ̀pẹ, bó bá já lulẹ̀ ó dọ̀run."
123,"See also, Ẹni tó mọ ayéé jẹ kì í gun àgbọn.",Compare: Bí a bá dàgbà à yé ogunún jà.
124,The rain flood ruins the path believing that it is repairing it.,"Àgbàrá ba ọ̀nà jẹ́, ó rò pé òún tún ọ̀nà ṣe."
125,What strength does the calabash have at its disposal that makes it attempt to scoop up all the water in the ocean?,Agbára wo ló wà lọ́wọ́ igbá tó fẹ́ fi gbọ́n omi òkun?
126,It is an overreaching kite that proposes to eat snails.,Àgbéré àwòdì ní ń ní òun ó jẹ ìgbín.
127,The cockroach overreaches itself when it says it will dance in the company of chickens.,Àgbéré laáyán gbé tó ní òun ó jòó láàárín adìẹ.
128,The bird only attempts the impossible; it cannot drink the milk in a coconut.,Àgbéré lẹyẹ ńgbé; kò lè mu omi inú àgbọn
129,"The overreaching mud idol that asked to be put in the rain; as the arms fell off, so did the thighs; the rounded head could not support itself.",Àgbérée ṣìgìdì tó ní ká gbé òun sójò; bí apá ti ń ya nitan ń ya; kidiri orí ò lè dá dúró.
130,The tongue is the border of the mouth.,Ahọ́n ni ìpínnlẹ̀ ẹnu.
131,Lack of regard for a person during the day makes one kick the person during the night as one tosses restlessly in sleep.,Àìjọnilójú lọ́sàn-án ní ń múni jarunpá luni lóru.
132,"Not-assuming-the-position-of-ruler-at-all is far better than, “My word is not heeded by the people.”","Àì-kúkú-joye, ó sàn ju, “Ẹnuù mi ò ká ìlú” lọ."
133,It is a deficiency of biceps that blunts the machete; if one has strong biceps one can cut trees with a cudgel.,"Àì-lápá làdá ò mú; bí a bá lápá, ọmọ owú too gégi."
134,"It is inability to fight that prompts one to say, “My father's front yard does not extend this far.”",Àìlèjà ni à ń sọ pé “Ojúde bàbáà mi ò dé ìhín.”
135,It is severe ignorance that prompts a mouse to challenge a cat to a fight.,"Àì-mọ̀-kan, àì-mọ̀-kàn ní ń mú èkúté-ilé pe ológbò níjà."
136,It is the absence of people on the farm that brings one to conversing with a dog.,Àìsí èèyàn lóko là ń bá ajá sọ̀rọ̀.
137,"The leopard being away from home, the dog barks.","Àìsí-ńlé ẹkùn, ajá ń gbó."
138,"The cat being away from home, the house becomes a domain for mice.","Àìsí-ńlé ológbò, ilé dilé èkúté."
139,The failure of the àbà tree to fruit brought the bird to eating garden egg; ordinarily birds would not eat bitter tomato.,Àìso àbà ló mẹ́yẹ wá jẹ̀gbá; ẹyẹ kì í jẹ̀gbá.
140,A dog does not bark in the leopard's lair.,Ajá kì í gbó níbojì ẹkùn.
141,A dog does not go into the wild to hunt a leopard.,Ajá kì í lọ ságinjù lọ ṣọdẹ ẹkùn.
142,A dog is never so fierce that it can guard two doorways.,Ajá kì í rorò kó ṣọ́ ojúlé méjì.
143,A dog knows excrement; a pig knows a mud pit; a turkey knows to whom to direct its fart.,Ajá mọ ìgbẹ́; ẹlẹ́dẹ̀ẹ́ mọ àfọ̀; tòlótòló mọ ẹni tí yó yìnbọn ìdí sí.
144,A dog dares not go to a wolf's mosque to make ablutions.,Ajá ò gbọdọ̀ dé mọ́ṣáláṣí ìkókò ṣàlùwàlá.
145,The dog sees palm-oil but does not lick it; did its mother excrete palm-nut pericarp?,Ajá rí epo kò lá; ìyáa rẹ̀ẹ́ ṣu ihá bí?
146,A dog that chases a leopard is seeking trouble.,"Ajá tó ń lépa ẹkùn, ìyọnu ló ń wá."
147,The dog returns to its vomit.,Ajá tún padà sí èébìi rẹ̀.
148,The uncharacteristically spruced up partridge swells its chest.,"Àjàjà ṣoge àparò, abàyà kelú."
149,The elephant does not break and run at the sight of dogs; a person with two hundred dogs dares not stalk an elephant.,Àjànàkú ò tu lójú alájá; o-nígba-ajá ò gbọdọ̀ tọ́pa erin.
150,"Tortoise says there is nothing quite like expertise in one's calling; it says if it puts a palm-fruit into its mouth, it spits out a palm-nut.","Ìjàpá ní kò sí ohun tó dà bí ohun tí a mọ̀ ọ́n ṣe; ó ní bí òun bá ju ẹyìn sẹ́nu, òun a tu èkùrọ́ sílẹ̀."
151,"Tortoise argues that it that might have farted is sound asleep, and, surely, those that sleep do not fart!","Ìjàpá ní òun tí ìbá só ló sùn yìí, bẹ́ẹ̀ni ẹní bá sùn kì í só."
152,Tortoise set out on a journey and it was asked when it would return; it replied that it would be after it had earned disgrace.,"Ìjàpá ń lọ sájò, wọ́n ní ìgbà wo ni yó dèé, ó ní ó dìgbàtí òun bá tẹ́."
153,It is a loosely hung net that teaches the fruit pigeon a lesson.,Àjátì àwọ̀n ní ń kọ́ òrofó lọ́gbọ́n.
154,Feeding-without-leaving kills the Tullberg's rat; feeding-without-departing kills the spotted grass mouse; feeding-without-departing kills the máláàjú rat.,À-jẹ-ì-kúrò ní ń pa ẹmọ́n; à-jẹ-ì-kúrò ní ń pa àfè; à-jẹ-ì-kúrò ní ń pa máláàjú.
155,Eating-until-vomiting is the trait of the bat.,À-jẹ-pọ̀ ni tàdán.
156,"Eating-absolutely-everything, eating-with-abandon, eating with all ten fingers is unworthy of human beings.","À-jẹ-tán, à-jẹ-ì-mọra, ká fi ọwọ́ mẹ́wẹ̀ẹ̀wá jẹun ò yẹ ọmọ èèyàn."
157,"Sitting-without-getting-up, speaking-without-waiting-for-responses, walking people on their way and not turning back, unpleasantness is what they breed.","À-jókòó-àì-dìde, à-sọ̀rọ̀-àì-gbèsì, ká sinni títí ká má padà sílé, àì-sunwọ̀n ní ń gbẹ̀yìn-in rẹ̀."
158,"The hedgehog does not live in the grassland, only in the forest.",Aaka ò gbé ọ̀dàn; igbó ní ń gbé.
159,"The bow cannot fight, but who dares confront it with a stick?",Àkàtàm̀pò ò tó ìjàá jà; ta ní tó mú igi wá kò ó lójú?
160,Refusal-to-acknowledge-salutations enhances the god's dignity.,Àkíìjẹ́ mú òrìṣà níyì.
161,The rag knows its place; it remains quietly on the rafters.,"Àkísàá mọ ìwọ̀n araa rẹ̀, ó gbé párá jẹ́."
162,"Woodpeckers in the forest say they can carve mortars, frogs in the stream say they can string beads, and awúrebe say they can weave cloth.",Àkókó inú igbó ní àwọ́n lè gbẹ́ odó; ọ̀pọ̀lọ́ lódòó ní àwọ́n lè lọ́ ìlẹ̀kẹ̀; awúrebé ní àwọ́n lè hun aṣọ.
163,An overly squeamish person owns nothing; raffia cloth is no good for trousers.,Akórira ò ní nǹkan; ọ̀dùn ò sunwọ̀ fún ṣòkòtò.
164,"Dead, I will not eat its broth; alive, I will not send it on an errand.","Akú, n kò ní omitooroo rẹ̀ ẹ́ lá; àìkú, n kò níí pè é rán níṣẹ́."
165,The rooster shows its maturity by its early rising; it shows its lack of maturity by defecating on the floor.,Àkùkọ̀ adìyẹ́ fi dídájí ṣàgbà; ó fi ṣíṣu-sílẹ̀ ṣèwe.
166,It is the owner of the machete who exercises authority over mutual laborers.,Aládàá lo làṣẹ àro.
167,A shameless person goes to die in his relative-in-laws' house.,Aláìnítìjú lọ kú sílé ànaa rẹ̀.
168,A wearer of a battle-helmet does not flee from war.,Alákòró kì í sá fógun.
169,A lizard does not boast that it will kill a snake.,Aláǹgbá kì í lérí àti pa ejò.
170,The cricket arises in the morning and vows to perform wonders.,Aláàńtètè: ó jí ní kùtùkùtù ó ní òun ó dàá yànpọ̀n-yànpọ̀n sílẹ̀.
171,It is an overreaching dog that chases leopards.,Aláṣejù ajá ní ń lépa ẹkùn.
172,"The immoderate person, greatest of cowards.","Aláṣejù, baba ojo."
173,It is an immoderate person who carries his offering past Èṣù's shrine; one-who-carries-his-alms-past-the-mosque.,Aláṣejù ní ń gbẹ́bọ kọjá ìdí èṣù; a-gbé-sàráà-kọjá-a-mọ́ṣáláṣí.
174,The immoderate person easily finds disgrace; immoderation is the father of disgrace.,"Aláṣejù, pẹ̀rẹ̀ ní ńtẹ́; àṣéjù, baba àṣetẹ́."
175,Overzealous wife that calls her husband “father.”,Aláṣejù tí ń pọkọ ní baba.
176,A person dressed in white does not sit at the stall of a palm-oil seller.,Aláṣọ àlà kì í jókòó sísọ̀ elépo.
177,A person who has only one set of clothing does not bargain until he is wet.,Aláṣọ kan kì í ná ànárẹ.
178,A person who has only one set of clothing does not play in the rain.,Aláṣọ kan kì í ṣeré òjò.
179,The person who must settle his/her affair knows best how he/she plans to go about doing so.,Alátiṣe ní ń mọ àtiṣe araa rẹ̀.
180,The visitor does not take his/her leave and take the host along.,Àlejò kì í lọ kó mú onílé dání.
181,The visitor does not recount the history of the town for the host.,Àlejò kì í pìtàn ìlú fónílé.
182,To be pursued does not become an elder; an elder does not cause himself to be pursued.,Àlémú ò yẹ àgbà; àgbà kì í ṣe ohun àlémú.
183,The dùndún player does not lead a song.,A-lu-dùndún kì í dárin.
184,"The àmọ̀tẹ́kùn looks like a leopard, but it cannot do what a leopard can do.","Àmọ̀tẹ́kùn fara jọ ẹkùn, kò lè ṣe bí ẹkùn."
185,"The lizard is not good-looking to start with, and it slips into indigo dye.","Amùrín ò sunwọ̀n, ó yí sáró."
186,Yesterday the antelope was caught in a pit-trap; today the antelope is caught in a pit-trap; is there no other animal in the forest besides the antelope?,Ànámánàá ẹtù jìnfìn; ònímónìí ẹtù jìnfìn; ẹran mìíràn ò sí nígbó lẹ́yìn ẹtù?
187,The mouse cannot get a grip on the awùsá nut; all it can do is roll it around.,Apá èkúté-ilé ò ká awùsá; kìkìi yíyíkiri ló mọ.
188,Excessive ribbing unfailingly leads to a fight.,"Àpárá ńlá, ìjà ní ń dà."
189,The fire is being most overbearing; there is nothing fire can do to water.,Àpárá ńlá ni iná ń dá; iná ò lè rí omi gbéṣe.
190,The termite is being most overbearing; a termite cannot eat a rock.,Àpárá ńlá nikán ń dá; ikán ò lè mu òkúta.
191,Calling a person “Mother of the Compound” is only a mark of respect; there is no mother in the compound who does not have a name.,Àpọ́nlé ni “İyáa Káà”; ìyá kan ò sí ní káà tí kò lórúkọ.
