,english,yoruba
11,"He had started laughing that way again now, alone to himself, and his voice reechoed distracting the neighbours.","Ó tún bẹ̀rẹ̀ ẹ̀rín tí ó máa ń rín yẹn, sí ara rẹ̀, gbohùn-gbohùn ilé sì ń gba ohùn rẹ̀, ariwo rẹ̀ yìí sì ń da àwọn aládùúgbò wọn láàmú."
12,"The city sprawled out for miles around Alamu in a dusty mass of corrugated iron roofs - `broken china in the sun`, as the poet would say.",Ìlú náà tàn ká fún ọ̀pọ̀ máìlì yípo Àlàmú nínú ọ̀pọ̀ eruku tí ó jáde lára òrùlé tó ti dógùn-ún.
13,The air Alamu breathed in was heavy and misty – almost polluted.,"Atẹ́gùn tí Àlàmú ń mí wọra wúwo, ó ti pò pọ̀, atẹ́gùn náà ti bàjẹ́."
14,The ceaseless hooting of car horns came faintly to his ears.,Ariwo à-fọn-ọ̀n-fọn-tán àwọn ọkọ̀ ń dún létí rẹ̀ díẹ̀ díẹ̀.
15,"At some distance, hundreds of motor cars streamed out bumper to bumper in an endless queue on the narrow tarred street.","Láti ọ̀nà jíjin, ọgọọgọ́rùn-ún ọkọ̀ tò lọ rẹrẹ láìlópin ní títì ọlọ́dà tóóró."
16,No government had fully succeeded in solving this city`s notorious problem of traffic jams and `go-slow`.,Kò sí ìjọba tó ti ṣàṣeyọrí nínú wíwá ojútùú sí ìṣòro ògbólógbòó sún-kẹrẹ-fà-kẹrẹ ọkọ̀.
17,"The city- hall building stood in all its splendor on the peak of the high Mapo Hill. At the far end of the town towards the horizon in the east, was the new Specialist Hospital building and a cluster of skyscrapers which gave lbadan a look of sophistication and modernity; never mind the great slum which marked out the indigenous areas of the city on the western side.","Gbọ̀ngán ìlú dá dúró nínú ọlá ńlá rẹ̀ ní té-ń-té òkè Màpó. Ní òpin ìlú sápá òkèèrè ní ìlà-oòrùn ni ilé-ìwòsàn alámọ̀já tuntun wà, àti ogunlọ́gọ̀ àwọn ilé alákọ̀ọ́kànrun tí ó ń fún ìlú Ìbàdàn ní ìrísí tó jojú ní gbèsè àti èyí tó fi ọ̀làjú hàn; láìro ti agbèègbè àwọn ọmọ onílùú tí kò dùn ún wòtí ó ti wà tipẹ́ ní apá Ìwọ̀-oòrùn ìlú."
18,"The compulsory monthly environmental campaign exercise, mounted by the government, had started taking care of that.","Ètò gbálé-n-gbáta oní kàn-ń-pá, tí ìjọba gùnlé ti bẹ̀rẹ̀ si í ṣe ìtọ́jú àwọn agbèègbè yẹn."
19,Its message ringing loud and clear in the ears of the inhabitants of the city:,Ó sì ń kọrin sí etí àwọn olùgbé ìlú pé:
20,"Whoever you are, whatever you are","Ẹnikẹ́ni tó o bá jẹ́, Nǹkan kí nǹkan tó ò bá à jẹ́"
21,Come out and clean your surrounding,Jáde síta kó o wá ṣe ìmọ́tótó agbèègbè rẹ
22,It`s a national call to duty,Ìpè orílẹ̀-èdè ni sí ojúṣe rẹ
23,All hands should be on deck,Kí gbogbo ọwọ́ má dilẹ̀
24,"To make Ibadan, the cleanest city","Láti sọ ìlú Ìbàdàn, di ìlú tí ó mọ́ jùlọ"
25,In the whole world,Nínú gbogbo àgbáyé
26,Come out in your thousands,Ẹ jáde ní ẹgbẹẹgbẹ̀rún yín
27,"With diggers, shovels, brooms and baskets","Pèlú jígà, ṣọ́bìrì, ìgbálẹ̀ àti apẹ̀rẹ̀"
28,Open up your car boots,Ẹ sí búùtù ọkọ̀ yín
29,To receive the city dirt,Láti gba ìdọ̀tí ìlú
30,Win a prize for Ibadan,Jẹ àmì ẹ̀yẹ fún ìlú Ìbàdàn
31,A one million naira national prize……..,"Mílíọ́ọ̀nù náírà kan, Àmì ẹ̀yẹ orílè-èdè."
32,"Alamu turned round, gazing at the animating scenery of the city.","Àlàmú yípo, ó ń wòye ìgbòkègbodò inú ìlú náà."
33,"It was not possible for anybody to conquer Africa`s largest city with such an absent-minded, bird`s-eye-view gaze.",Kò ṣeéṣe fún ẹnikẹ́ni láti ṣẹ́gun ìwòye ìlú tó tóbi jù níilẹ̀ aláwọ̀dúdú pẹ̀lú àìfọkànsí.
34,"Infact, the more you gazed that way, the less you saw of this sprawling city – city of chances; city of opportunities; city of problems.","Kódà, bí ó ṣe ń wò ó báyìí sí, ni díẹ̀ tí ó rí mọ nínú ìlú tí ó gbílè yìí, ìlú àǹfààní, ìlú wàhálà."
35,"It was some people`s luck in this city on seven hill, to make clean, steady money by dint of hard work and God`s abundant blessing.","Ó jẹ́ oríire fún àwọn ènìyàn kan nínú ìlú olókè méje yìí, láti pa owó mímọ́ láti ìgbà dé ìgbà nípasẹ̀ iṣẹ́ àṣekára pẹ̀lú ìbùkún yanturu láti ọ̀dọ̀ Ọlọ́run."
36,"Such people had good cars, owned self-contained bungalows in the outskirts of the city, through rather fast means.","Irú àwọn ènìyàn bẹ́ẹ̀ ní ọkọ̀ ayọ́kẹ́lẹ́ tó dára, ilé àdágbé tiwọn ní ìgbèríko ìlú, lọ́nà to yára kíá kíá."
37,They accumulate wealth under cover of the night when all honest men and women are deep in sleep.,Wọ́n ń kó ọrọ̀ jọ lábẹ́ òru nígbà tí àwọn olódodo lọ́kùnrin lóbìnrin ti sun oorun àsùnwọra.
38,"And before you wake up to say, `good morning neighbor`, this set of people have become what the local musicians call, `currency controllers`, `delicate millionaires` `emergency directors` and `international managers`.","Kí ó sì tó di wí pé ó jí lówùúrọ̀ láti sọ“Ẹ káàárọ̀ ará ilé”, àwọn eni tí à ń wí yìí á ti dí nǹkan tí àwọn olórin ìbílẹ̀ wa ń pè ní “olùdarí owó”, “ẹni tó ń ṣàkóso owó ní mílíọ́ọ̀nù mílíọ́ọ̀nù”,“olùdarí òjijì”, “alákòóso okòòwò láàrin àwọn orílẹ̀-èdè”."
39,They become directors with no particular office address! Managers with no specific place of work!,Wọ́n ń di olùdarí láìsí àdírẹ́sì ọ́fíìsì kan pàtó. Olùṣàkóso láìní ibí-iṣẹ́ kan ní pàtó.
40,"But who, nonetheless, erect mansions in strategic places in town and ride.","Àwọn yìí náà ni wọ́n ń kọ́ ilé ńlá ńlá sí àwọn ibi pàtàkì nínú ìlú, tí wọ́n sì ń wá"
41,The most prestigious Mercedes-Benz cars – throwing their great bull_necks on the delicately soft backs seat of the air conditioned Mercedes with damsels of their daughters age group for company!,"Ọkọ̀ mẹ̀sí ọlọ́yẹ́ bọ̀gìnnì bọ̀gìnnì, wọ́n á wá ju ọrùn wọn kíki bí i ti abo màlúù sórí àga tìmùtìmù lẹ́yìn ọkọ̀ tí ọyẹ́ wà nínú rẹ̀ ní gidi, pẹ̀lú àwọn omidan tó tó ẹgbẹ́ ọmọ wọn fún fàájì."
42,"But inside this same city are the other forlon people who toil day in day out, with the determination to succeed and make a headway but whose labours end up in dismal failure.","Nínú ìlú yìí kan náà, ni àwọn akúṣẹ̀ẹ́ ènìyàn wà tí wọ́n ń tiraka lọ́sàn-án lóru, pẹ̀lú ìpinnu láti làlùyọ, kí wọ́n ṣaṣeyọrí, ṣùgbọ́n pàbọ́ ni gbogbo ìgbòkè-gbodò wọn ń já sí."
43,"These are the people with shattered dreams; people who hope all the time, against hope.","Èyí ni àwọn ènìyàn tí àlá wọn ò ṣe, àwọn ènìyàn tí wọ́n ní ìrètí ní gbogbo ìgbà, ìrètí tí kò níí ṣe."
44,Alamu inherited a sizeable proportion of the city’s problems – in spite of his education and position.,"Ìwọ̀n ńlá ni Àlàmú jogún nínú ìṣòro ìlú yìí, ládúrú ẹ̀kọ́ àti ipò rẹ̀."
45,"Those wonderful opportunities and chances offered by the city to the lucky dwellers had eluded people would say, and the many problems now confronting him seemed to have weighed him down body and soul."," Àwọn àǹfààní ààyè oríire tí ìlú ń fún àwọn olùgbé rẹ̀ ti fò ó dá. Ní tirẹ̀, “ọ̀na ti dí”, gẹ́gẹ́ bíàwọn ènìyàn ṣe máa ń sọ, àwọn ìṣòro púpọ̀ tó ń kojú yìí ti wá já a lulẹ̀ tẹ̀mí tara."
46,"He reflected over the problems and laughed. No option. An echo – the talkative spirit of the air scattered his voice, making it fly, unchecked, in the wings of the wind.","Ó ro àwọn ìṣòro rẹ̀, ó sì rẹ́rìn-ín , kò sí ọ̀nà àbáyọ. Gbohùngbohùn - tó jẹ́ ẹ̀mí ẹjọ́ wẹ́wẹ́ inú atégùn tú ohùn rẹ̀ ká, ó sìgbé ohùn fò pẹ̀lú ìjà."
47,"When lifes’s problems come in mere trickles, you could cry.","Bí ìṣòro ayé bá ń wà ní díẹ̀díẹ̀, ó lè pa ènìyàn lẹ́kún."
48,"That would make sense but when the problems come tumbling down overwhelmingly, it is no use crying anymore; it is better to laugh, in the peoples’s own words, the matter would then have been ‘more serious than tears’!","Èyí ṣì ń mọ́gbọ́n dání ṣùgbọ́n tí ìṣòro bá ti ń gun orí ara wọn láìdáwọ́ dúró, ẹ̀rín ló dára jù láti rín, ní ti àwọn ènìyàn, “ọ̀rọ̀ náà ti ju igbe lọ!”"
49,That was why the ‘ha ha ha ha’ sound of Alamu’s grotesque laughter now reverberated… But evidently too loud now for his immediate neighbours’ comfort.,ìdí nìyí tí ariwo ẹ̀rín Àlàmú ‘ha ha ha ha’ fi ń pọ̀ sí i... Ṣùgbọ́n ó ti wá ń pọ̀jù fún ìtura àwọn ará àdúgbò rẹ̀.
50,"And so human heads started appearing in twos and threes – at the doorsteps, at the window panes, from behind the walls, and at the balconies of the surrounding houses.","Fún ìdí èyí, àwọn ènìyàn bẹ̀rẹ̀ si í narùn ní méjì-méjì, mẹ́ta-mẹ́ta láti ẹnu ọ̀nà, ojú fèrèsé, láti ẹ̀yìn ògiri àti lá́ti ẹ̀yìnkùlé àwọn ilé tó yí i ká."
51,"They held their chins looking curiously in the direction of Alamu’s flat, shaking their heads in pity.","Wọ́n ń fọ́wọ-lẹ́rán wo ògángán ilé Àlàmú, wọ́n sì ń mirí wọn tìkáàánú-tìkáàánú."
52,"‘Why? Why?’ they wondered, ‘Why should this happen to this man?’",“Èéṣe? Èéṣe? wọ́n ronú.......Èéṣe tí irú èyí fi ń ṣẹlẹ̀ sí arákùnrin yìí”.
53,‘Who brought this upon him?’,“Ta ló kó irú èyí bá a?”
54,"‘A rich young man with a big car, a man with plenty of money. A man with enough to eat and enough to drink. This world is not easy’.","“Ọ̀dọ́mọkùnrin tó ní ọkọ̀ ayọ́kẹ́lẹ́ ńlá, tó ní ọ̀pọ̀lọpọ̀ owó. Ọkùnrin tó ń rí oúnjẹ àjẹyó jẹ, tí ó sì ń ní ohun mímu àmuṣẹ́kù. Ilé ayé yìí ò mà rọrùn o.”"
55,But these people could only gaze and assess the situation of things from a distance.,Ṣùgbọ́n òkèèrè ni àwọn ènìyàn yìí ti ń wo bí nǹkan ṣe rí.
56,They had no direct access to Alamu’s house.,Wọn kò ní àǹfààní tààrà sí ilé Àlàmú.
57,"That was a house apart. With typical pseudo-aristocratic air, Alamu kept his neighbours at arm’s length. And, don’t blame him for that.","Ó jẹ́ ilé tí ó dá dúró lọ́tọ̀, Àlàmú kò fi ojú sílẹ̀ fún àwọn ará àdúgbò rẹ̀, pẹ̀lú ìgbé-ayé olówó ayédèrú tí ó ń gbé, kò fi ààyè ìgbanimọ́ra sílẹ̀ fún wọn rárá. Má dá a lẹ́bí fún èyí."
58,He was not in the same class with these people.,Kìí ṣe sàwáwù pẹ̀lú àwọn ènìyàn wọ̀nyí rárá.
59,"Socially and intellectually, he knew he was far ahead of them",Ní ti gbígbafẹ́ àti ọgbọ́n orí ni ó mọ̀ pé gbọ̀ọ̀rọ̀-gbọọrọ ni òun fi jù wọ́n lọ.
60,There was no basis for any intimate association.,Kò sí ìdí fún ìbáṣepọ̀ tímọ́-tímọ́ kankan láàárín wọn.
61,"Whereas his immediate neighbours were a pack of illiterates, knowing almost next to nothing, Alamu was a ‘book man’ who had spent the beteer part of his life in the country of the white man.","Kódà, àwọn ará àdúgbò rẹ̀ yìí jẹ́ aláìmọ̀-ọ́n-kọ, mọ̀-ọ́n-kà, a fẹ́rẹ̀ é lè sọ pẹ́ wọn kò mọ nǹkankan rárá. Àlàmú sì jẹ́ alákọ̀wé tí ó ti lo ọ̀pọ̀lọpọ̀ ọdún ayé rẹ̀ ní ìlú òyìnbó."
62,"Whereas these ‘local’ people lived in a mud houses, or cemented brick houses at best.",Ilé alámọ̀ àti onísìmẹ́ǹtì díè díè ni ó dára jù nínú ilé tí àwọn ará oko yìí ń gbé.
63,Alamu’s hired flat stood out – well-painted and  adequately electrified.,"Ilé tí Àlàmú fi owó gbà yìí dá yàtọ̀, wọ́n kùn ún lọ́dà dáa dáa tí iná mọ̀nàmọ́ná sì wà níbẹ̀."
64,"Whilst the neighbours had only wooden beds, raffia mats to sleep on, and the cheap transistor radio to listen to, Alamu owned three giant-sized vono beds, a cot for Tinu his young child, a colour television and a four-in-one stereo set from where music used to blare everyday, deafening the poor neighbours’ ears…","Bí ó tilẹ̀ jẹ́ pé bẹ́ẹ̀dì onígi àti ẹní pákítì láti sùn lé, àti rédíò olówó kékeré ni àwọn aládùúgbò rẹ̀ ní, bẹ́ẹ̀di onítìmù-tìmù“fónò” ńlá mẹ́ta àti ibùsùn Tinú, ẹ̀rọ amóhùn-máwòrán tí ó ń gbé àwòrán jáde àti ẹ̀rọ akọrin mẹ́rin-lọ́kan tí orin ti ń dún gbì-gbì-gbì lójoojúmọ́, tí ó sì ń dí àwọn tálákà àdúgbò létí ni Àlàmú ní."
65,testimony of his arrival in the world of affluence.,Ẹ̀̀rí dídé sí ìgbé ayé ọlọ́rọ̀.
66,"So, Alamu ought to be happy man. That was the general assessment of the people.","Fún ìdí èyí, aláyọ̀ ènìyàn ni ó yẹ kí Àlàmú jẹ́. Èrò gbogboògbò àwọn ènìyàn sí i rè é."
67,"But Alamu knew his own limitations, he knew he was far from  being happy, he alone knew where the shoes pinched, he would not talk to anyone about it, he kept his lip sealed.","Ṣùgbọ́n Àlàmú mọ ìwọ̀n ara rẹ̀, ó mọ̀ pé ìdùnnú jìnnà sí òun, òun nìkan ló sì mọ ibi tí bàtà ti ń ta á lẹ́sẹ̀, kò sì ba ẹnikẹ́ni sọ̀rọ̀ nípa rẹ̀, ófi ètè rẹ̀ métè."
68,"Whenever the neighbours greeted him in the morning, Alamu would wink, grin,nod- or just hiss at them.","Nígbàkugbà tí àwọn ará àdúgbò rẹ̀ bá ń kí i lówùúrọ̀, Àlàmú yóò fi ara dáhùn, bí i kó mi ẹnu, bíi kó ṣẹ́jú tàbí kí ó mirí, tàbí kí ó pòṣé ṣààrà sí wọn."
69,"Briskly he would hurry away on his toes, jump inside his peugoet car, back the car out of the garage, and race off – to God-knows where!","Kíá, ni yóò rìn kúrò, á fò sínú ọkọ pijó rẹ̀, á fi ẹ̀yìn ọkọ̀ jáde láti inú ọgbà ìgbọ́kọ̀sí rẹ̀, á ki erémọ́lẹ̀, sí ọ̀nà ibi tí ó jẹ́ pé ọlọ́run nìkan ló mọ̀!"
70,He got that car after his arrival in the country fromEngland three years ago – shortly after he took up the job of a senior Accountant with Bajoks Company Limited.,Ó ra ọkọ̀ náà lẹ́yìn tí ó ti ìlú Englandi dé sí ilé ní ọdún mẹ́ta sẹ́yìn - lẹ́yìn ìgbà díè tí ó di Aṣírò-ọrọ̀ àgbà ní iléeṣẹ́ Bajoks.
71,"A year later, he got married to Labake – the lady he met and fell in love with in England. Their wedding was lavish and expensive.","Lẹ́yìn ọdún kan ni ó fẹ́ Làbákẹ́, ọmọbìnnrin tí ó pàdé, tí ó sì nífẹ̀ẹ́ sí nílùú England. Ìgbéyàwó wọn jẹ́ èyí tí wọ́n ti ba owó nínú jẹ́."
72,"Immediately after his society wedding, Alamu started noticing a big hole inside his own pocket.","Kété, lẹ́yìn ìgbéyàwó alárinrin rẹ̀ yìí ni Àlàmú bẹ̀rẹ̀ si í ṣàkíyèsí ihò ńlá nínú àpò rẹ̀."
73,Money would not stay anymore! His pocket had started leaking!,Owó kò dúró níbẹ̀ mọ́! Àpò rẹ̀ ti ń jò!
74,"He would watch helplessly, his hard-earned money streaming away like a running water ofa river into the remote sea.","Á wá máa wò láìrí-ìrànlọ́wọ́, owó tí ó fara ṣiṣẹ́ kárakára fún wá ń ṣàn lọ bí i omi odò tí ó ń ṣàn lọ sí òkun."
75,"The financial commitments had become unbearably heavy, he didn’t envisage it would be as heavy as that – debts to the tune of thousands of naira.","Ètò ìnáwó rẹ̀ ti ń kọjá agbára rẹ̀, kò lérò pé ó lè pọ̀ tó ìyẹn - gbèsè ti ń di ẹgbẹẹgbẹ̀rún náírà."
76,"The expenses on his aged mother was one one big hole in the pocket. So also was the maintenance of his car, and the monthly allowance for their house maid.","Iye tó ń ná lórí ìyá rẹ̀ gan an ń kówó lọ, bẹ́ẹ̀náà ni ìtọ́jú ọkọ̀ rẹ̀ àti owó-oṣù ọmọ-ọ̀dọ̀ wọn."
77,"Not to talk of his regular bills: water rate, house rent, electricity bill, income tax, car loan, monthly deduction…","Kí á tó wá sọ owó-omi, owó-ilé, owó iná mọ̀nà-mọ́ná, owó-orí àti ìdápadà ẹ̀yáwó ọkọ̀ rẹ̀."
78,"Alamu’s pocket was seriously leaking, month-end, to him, was, consequently, a time to shed cold sweat, a time to frown and knit the eyebrow as he went through his list of expenditure.","Àpò Àlàmú ń jò gidigidi, ìparí oṣù sì ń jẹ́ àsìkò fún un láti làágùn tútù, ó jẹ́ àsìkò fún un láti lejú kí ó sì ranjú bí ó ṣe ń wo ètò ìṣúná owó rẹ̀ lésẹẹsẹ̀."
79,"After taking his salary, Alamu would drive his car life a jet bomber, race home in lightning celerity.","Lẹ́yìn tí ó bá ti gba owó oṣù rẹ̀, á wá wa ọkọ ayọ́kẹ́lẹ́ rẹ̀ bí i ọkọ̀ òfurufú elékùsọ́, á mú eré lọ ilé bí ẹ timọ̀."
80,"At home he would lock himself up inside the bedroom, pick up his diary and start reading out to himself the relevant comments he had scribbled inside it, from day one of the month, through to the last day.","Nílé, á ti ara rẹ̀mọ́ yàrá, á mú ìwé ìjẹ́rìí-ẹni rẹ̀, á wá bẹ̀rẹ̀ si í  ka àwọn ohun tó jẹ mọ́ ọn tí ó kọ sínú rẹ̀, láti ọjọ́ kìn-ín-ní oṣù títí di ọjọ́ tí ó kẹ́yìn."
81,"Every month was similar to the other, the situation was usually the same – with little or no modification.","Gbogbo oṣù ni ó máa ń jọ ara wọn, ohun tó ṣẹlẹ̀ nínú oṣù kọ̀ọ̀kan máa ń jọ ara wọn pẹ̀lú ìyàtọ̀ díẹ̀ tàbí làínì ìyàtọ̀ kankan."
82,"Today 10th July, landlord threatened to eject me, I owe him three months’ rent.","“Lónìí, ọjọ kẹwàá oṣù Agẹm̀ọ, onílé mi lérí láti lé mi jáde, mo jẹ ẹ́ ní owó-ilé oṣù mẹ́ta."
83,He swore oaths at me; called me all sorts of names.,"Ó ṣépè fún mi, ó pè mí ní orúkọ oríṣìíríṣìí."
84,"Boasted that he spent a great fortune to put up the buildings, that I should pay up or quit.","Ó fọ́nnu pé owó iyebíye ni òun fi kọ́ ilé òun, pé kí n san gbèsè mi  tàbí  kí n kó jáde”."
85,"Alamu looked up with a sorrow-laden eyes and mused to himself, ‘I must pay him up at the end of this month of July, no further scorn should poured on me for this’…","Àlàmú wòkè pẹ̀lú ojú tí ó kún fún ìbànújẹ́, ó dá sọ̀rọ̀ pé, “mo gbọ́dọ̀ san owó rè níparí oṣù Agẹmọyìí, ẹ̀gbín kankan ò tún gbọdọ̀ ta lé mi fún èyí”."
86,"Then, reading to himself from another page of the diary.",Lẹ́yìn náà  ni ó tún ṣí ojú ìwé mìíràn nínú ìwé ìjẹ́rìí-ẹni náà.
87,Labake embarrassed me today 21st July threatened to pack out. Quarrel over house keeping allowance. And little Tinu’s food stipend…My resolution?,"“Làbákẹ́ kàn mí lábùkù lónìí, ọjọ́ kọkànlélógún oṣù Agẹmọ, ó lérí láti kó jáde. Owó ìtọ́jú ilé ni ó fàjà. Àti owó oúnjẹ Tinú kékeré…………..ìnáw ótúntún?"
88,"Three hundred naira to be set apart for this every month, beginning from this month of July.’",Àpò náírà kan-àbọ̀ ni n ó tún máa yà sọ́tọ̀ láti oṣù kéje yìínáà  lọ”
89,Enough!... Enough!... Alamu would shout to himself. He’d close up the accursed book and fling it furiously against the wall of his bedroom.,"Ó tó gẹ́!.......... ó tó gẹ́!.........Àlàmú  ké mọ́ ara rẹ̀, á pa ìwé òfònáà  dé, á sì jù ú mọ́ ògiri yàrá rẹ̀."
90,Enough! How was he going to survive it all without the assistance of the invisible power from above? Where was he going to get all the money from? Impossible!,Ó tó gẹ́! Báwo ni n ó ṣe kó èyí já láìsí ìrànlọ́wọ́ agbára àìrí láti òkè wá? Níbo ni n ó ti rí adúrú owónáà? Kòṣeéṣe!
91,"Yes, that was only the month of July. Month in month out, he got the wrong answers to all his additions.","Bẹ́ẹ̀ ni, oṣù agẹmọ nìkan nìyẹn. Lóṣooṣù, kì í rí ìdáhùn tó tọ́ sí gbogbo ìṣirò rẹ̀."
92,His two plus two was five! Always five! The two plus two of a crazy mathematician!,Eéji pẹ̀lú Eéji máa ń fún un ní Aárùn-ún ní gbogbo ìgbà. Ìṣirò ayírí onímò ìṣirò.
93,His four plus three was eight! Always eight!,Mẹ́rin pẹ̀lú mẹ́ta rẹ̀ máa ń fún un ní mẹ́jọ gẹ́gẹ́ bí ìdáhùn sí ìṣirò rẹ̀ nígbà gbogbo.
94,"Before Alamu ever ever had the time to solve all these problems, another problems, another problem of greater magnitude would appear unto him.",Kí  Àlàmú tó ráyè láti yanjú àwọn ìṣòro wọ̀nyí ni àwọn mìíràn tí ó le ju èyí yóò tún dé bá a.
95,The monstrous posture of this new problem made all previous problems looks like a child’s play.,Ìrísí ìṣòro apanirun túntún yìí wá jẹ́ kí àwọn ìṣòro àtijọ́ dàbíi erémọdé lójú rẹ̀.
96,"This one pressed him hard to the wall, there was no place to run to anymore.","Eléyìí sún un kan ògiri, kò sí ibi tí ó fẹ́ sá sí mọ́."
97,"And now, he resolved; No more tears! no more tear drops!","Nísinsìnyí, ó tún èrò ara rẹ̀ pa; kò sí igbe mọ́! Kò sí omi ẹkún mọ́!"
98,"He was no longer going to sit down and cry like a child, he would keep his new problem to himself – face it squarely, grapple with it like a man, solve it like a man – with courage and will-power-all along laughing over it, no more tears.","Kò ní jókòó máa sunkún bí ọmọdé mọ́, ó máa gbé ìṣòro túntún rẹ̀ sínú - á kọjú mọ́ ọn, á gbá a mú bí i akọni, á yanjú rẹ̀ bí i ọkùnrin - pẹ̀lú ìgboyà àti ìfọkànsí bí ó ṣe ń lọ, á sì máa fi ọ̀rọ̀ òhún ṣẹ̀rín rín, kò sí omijé mọ́."
99,Alamu turned slowly away now from where he’d been standing gazing absent-mindedly at the city environment and yelling with laughter.,Àlàmú fi sùúrù yí padà kúrò níbí tí ó ti dúró wòye agbèègbè ìlúnáà láìfọkànsí pẹ̀lú ẹ̀rín lẹ́nu.
100,He’d caught sight of his wife from a distance returning from the market with Zenabu the house maid.,Ó ti rí ìyàwó rẹ̀ àti ọmọ-ọ̀dọ̀ wọn Sènábù láti ọ̀kánkán bí wọ́n ṣe ń bọ̀ láti ọjà.
101,"So, he had to withdraw. It is not good to allow Labake to get any hint.","Fún ìdí èyí, ó ní láti dáwọ́dúró, kò ní dáa láti jẹ́ kí Làbákẹ́ mọ nǹkankan rárá."
102,"As a woman, she possessed no strong shock absorbers to resist life’s tension and problems.","Gẹ́gẹ́ bí obìnrin, kò ní ọkàn láti kojú ìgbáyàsókè ayé àti ìṣòro."
103,Labake was sentimental and tender-hearted. She would break down in tears at the magnitude of this present problem. And that would not be good.,Làbákẹ́ kò ní ọkàn. Ó máa bú sẹ́kún ni bí ó bá rí bí ìṣòro tó bá wọn ṣe pọ̀ tó. Èyí kò sì ní daa.
104,"Alamu had promised his wife, right from the day of their wedding, that there would be no cause to make her regret or make her shed tears.","Àlàmú ti ṣe ìlérí fún ìyàwó rẹ̀, láti ọjọ́ ìgbéyàwó, pé kò ní sí ìdí fún un láti kábàámọ̀ tàbí kí ó sunkún."
105,"It was going to be sunshine and laughter all through. And if there were problems to grapple with, he’d told his wife he was up to the task. He would solve them like a man – a ‘true’ man.","Ó ní ìdùnnú ni yóò jẹ́ títí. Tíìṣòro bá sì wà láti kojú, yóò sọ fún ìyàwó rẹ̀ pé òun kájú òṣùnwọ̀n. Á yanjú rẹ̀ bí i ọkùnrin – ọkùnrin gidi."
