English	Yoruba
Ongoing Volcanic Activity in Hawaii Causes Damage and Forces Evacuations	Òkè Ayọnáyèéfín Tó Ń Bú Gbàù ní Hawaii Ba Nǹkan Jẹ́, Ó sì Ti Lé Àwọn Èèyàn Kúrò Nílé
Miami, United States (English)—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì Í Yẹ̀ Láé”! Tá A Ṣe ní 2019—Miami, Orílẹ̀-èdè Amẹ́ríkà (Gẹ̀ẹ́sì)
Ongoing Wildfires Blaze Through Southern California	Iná Runlé-rùnnà ní Àríwá California
Initial Reports on Hurricane Irma	Ìròyìn Àkọ́kọ́ Nípa Ìjì Líle Tí Wọ́n Pè ní Irma
Hurricane Irma Update	Ìròyìn nípa Hurricane Irma
Carr Wildfire Blazes Near Redding, California	Iná Ńlá Tí Wọ́n Pè ní Carr Ṣọṣẹ́ Nítòsí Redding, Ìpínlẹ̀ California
INITIAL REPORT | California Wildfires	ÌRÒYÌN TÓ KỌ́KỌ́ DÉ | Iná Tó Ṣẹ́ Yọ Ní California
High Winds and Flooding Strike South Texas	Ìjì Líle àti Àkúnya Omi Ṣọṣẹ́ Ní Gúúsù Ìpínlẹ̀ Texas
2020 Memorial Commemoration—United States	Ìrántí Ikú Kristi Tá A Ṣé Lọ́dún 2020—Orílẹ̀-Èdè Amẹ́ríkà
Update on Hurricane Harvey Relief Efforts	Ìròyìn Lọ́ọ́lọ́ọ́ Nípa Ibi Tí Ètò Ìrànwọ́ Dé Lẹ́yìn Ìjì Hurricane Harvey
Hurricane Dorian Leaves Trail of Destruction	Ijì Lílé Tó Ń Jẹ́ Dorian Runlé-rùnnà
Update on California Wildfires	Ìròyìn Lọ́ọ́lọ́ọ́ Nípa Iná Runlé-rùnnà Tó Ṣẹ́yọ Ní California
Devastating Floods Impact Midwestern United States	Omíyalé Ba Nǹkan Jẹ́ Láàárín Agbègbè Ìwọ̀ Oòrùn Amẹ́ríkà
Deadly Mudslides Hit Southern California	Ìjì Líle Ṣọṣẹ́ ni Gúúsù Ìpínlẹ̀ California
First “Kingdom Hall” Rededicated After 85 Years	A Ya Gbọ̀ngàn Ìjọba Àkọ́kọ́ Sí Mímọ́ Lẹ́ẹ̀kan Sí I Lẹ́yìn Ọdún Márùnlélọ́gọ́rin (85)
Wildfires Scar California Countryside	Àwọn Iná Tó Jó ní Ìgbèríko California Ba Agbègbè Náà Jẹ́
School Shooting in California, United States	Ẹnì Kan Yìnbọn ní Ilé Ìwé Kan ní California, Lórílẹ̀-Èdè Amẹ́ríkà
Phoenix, United States—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì Í Yẹ̀ Láé”! Tá A Ṣe ní 2019​—Phoenix, Orílẹ̀-Èdè Amẹ́ríkà
Tours of World Headquarters Museum Exhibits Now Available in American Sign Language	Ìpàtẹ Àwọn Nǹkan Ìṣẹ̀ǹbáyé Ti Wà Báyìí ní Oríléeṣẹ́ Wa Lédè Adití
Miami, United States (Spanish)—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì Í Yẹ̀ Láé”! Tá A Ṣe ní 2019—Miami, Orílẹ̀-èdè Amẹ́ríkà (Èdè Spanish)
Tropical Storm Barry Pounds Southern United States	Ìjì Líle Tó Ń Jẹ́ Barry Gbo Gúúsù Amẹ́ríkà Jìgìjìgì
Mass Shooting in Virginia Beach, United States	Ọ̀pọ̀ Èèyàn Ló Fara Gbọta Nílùú Virginia Beach Lórílẹ̀-Èdè Amẹ́ríkà
More Than 100 Tornadoes Rip Through Southeastern United States	Ìjì Líle Tó Lé Ní Ọgọ́rùn-ún Ṣọṣẹ́ Láwọn Ibì Kan Lórílẹ̀-èdè Amẹ́ríkà
Florence Devastates Southeastern United States	Ìjì Líle Florence Ṣọṣẹ́ ní Gúúsù Ìlà Oòrùn Ilẹ̀ Amẹ́ríkà
Deadly Tornadoes in Southeast United States	Ìjì Líle Jà ní Gúúsù Ìlà Oòrùn Ilẹ̀ Amẹ́ríkà
Venezuela Update: Faith Intact Despite Worsening Conditions	fenesuela, oro aje denu kole, ko si owo, eto iranlowo, fidio
Venezuela Update: Spiritual Activities Increase Despite Ongoing Challenges	Ìròyìn Láti Fẹnẹsúélà: Àwọn Ẹlẹ́rìí Jèhófà Túbọ̀ Tẹra Mọ́ Ìjọsìn Ọlọ́run Láìka Ìṣòro Sí
Jehovah’s Witnesses in Venezuela Continue Bible Education in the Midst of Economic Crisis	Àwọn Ẹlẹ́rìí Jèhófà Lórílẹ̀-èdè Fẹnẹsúélà Ń Kọ́ Àwọn Èèyàn Lẹ́kọ̀ọ́ Bíbélì Nìṣó Láìfi Ọrọ̀ Ajé Tó Dẹnu Kọlẹ̀ Pè
Typhoon Hato Storms Hong Kong and Macau	Ìjì Líle Hato Jà Nílùú Hong Kong àti Macau
Deadly Landslides in Southwest India	Ẹ̀mí Ṣòfò Nígbà Tí Òkè Ya Lulẹ̀ Lápá Gúúsù-Ìwọ̀ Oòrùn Ilẹ̀ Íńdíà
Jehovah’s Witnesses Release Telugu Bible in India	Àwọn Ẹlẹ́rìí Jèhófà Mú Bíbélì Jáde ní Èdè Telugu ní Orílẹ̀-Èdè Íńdíà
Flooding Hits Western India	Àrọ̀ọ̀rọ̀dá Òjò Mú Kí Omi Ya Wọ Ìwọ̀ Oòrùn Íńdíà
Flooding in India	Omíyalé Ṣẹlẹ̀ ní Íńdíà
Cyclone Gaja Strikes India	Ìjì Líle Jà ní Íńdíà
Monsoon Rains Devastate Mumbai	Òjò Alátẹ́gùn Tó Lágbára Gan-an Ba Ìlú Mumbai Jẹ́
Translation Teams in India Overcome Obstacles During Pandemic	Àwọn Atúmọ̀ Èdè ní Orílẹ̀-èdè India Ń Báṣẹ́ Lọ Láìka Ti Àjàkálẹ̀ Àrùn Tó Gbòde Kan Sí
Earthquakes Strike Island in Indonesia	Ìmìtìtì Ilẹ̀ Wáyé ní Erékùṣù Kan ní Indonéṣíà
Earthquake and Tsunami Devastate Sulawesi, Indonesia	Ìmìtìtì Ilẹ̀ àti Omíyalé Ṣọṣẹ́ ní Sulawesi, Indonéṣíà
Flash Flooding in Indonesia	Omíyalé Ṣẹlẹ̀ ní Indonesia
Trami: Most Recent Typhoon to Pummel Japan	Ìjì Líle Trami: Ìjì Líle Tó Jà Lẹ́nu Àìpẹ́ Yìí ní Japan
Witnesses Bring Relief to Flood Victims in Japan	Àwọn Ẹlẹ́rìí Jèhófà Ṣèrànwọ́ Fáwọn Tí Omíyalé Dà Láàmú ní Japan
Flooding Devastates Western Japan	Omíyalé Ba Nǹkan Jẹ́ ní Ìwọ̀ Oòrùn Ilẹ̀ Japan
Earthquake Hits Hokkaido, Japan	Ìmìtìtì Ilẹ̀ Wáyé ní Hokkaido,Japan
Flooding in Japan	Àkúnya Omi Ṣọṣẹ́ Lórílẹ̀-Èdè Japan
Typhoon Tapah Hits Southern Japan	Ìjì Líle Tó Ń Jẹ́ Tapah Rọ́ Lu Apá Gúúsù Orílẹ̀-Èdè Japan
Typhoon Jebi Strikes Japan	Ìjì Líle Jebi Jà ní Japan
Revised New World Translation Released in Japanese	A Mú Bíbélì Ìtumọ̀ Ayé Tuntun Tá A Tún Ṣe Jáde Lédè Japanese
Typhoon Bualoi, Latest to Pummel Japan	Ìjì Líle Tí Wọ́n Pè Ní Typhoon Bualoi Ṣọṣẹ́ Lórílẹ̀-Èdè Japan
Typhoon Faxai Strikes Japan	Ìjì Líle Tó Ń Jẹ́ Faxai Ṣọṣẹ́ ní Orílẹ̀-Èdè Japan
Teymur Akhmedov Released From Kazakhstan Prison on April 4, 2018	Wọ́n Ti Dá Teymur Akhmedov Sílẹ̀ Lẹ́wọ̀n Lórílẹ̀-èdè Kazakhstan ní April 4, 2018
Jehovah’s Witnesses Host Open Houses in Kazakhstan	Àwọn Ẹlẹ́rìí Jèhófà ní Kazakhstan Pe Àwọn Èèyàn Wá Ṣèbẹ̀wò Sáwọn Gbọ̀ngàn Ìjọba
441 Days of Imprisonment​—An Interview With Teymur and Mafiza Akhmedov	Teymur Akhmedov Lo 441 Ọjọ́ Lẹ́wọ̀n​—A Fọ̀rọ̀ Wá Òun àti Mafiza Ìyàwó Rẹ̀ Lẹ́nu Wò
Positive Legal Development in Osh, Kyrgyzstan	Ìtẹ̀síwájú Lórí Ọ̀ràn Ẹjọ́ Nílùú Osh, Lórílẹ̀-èdè Kyrgyzstan
Victory for Religious Freedom in Mongolia: Jehovah’s Witnesses’ Registration Renewed	Àwọn Ẹlẹ́rìí Jèhófà Ti Lómìnira Ẹ̀sìn ní Mòǹgólíà: Ìjọba Pa Dà Forúkọ Ẹ̀sìn Wọn Sílẹ̀ Lábẹ́ Òfin
Floods and Landslides Devastate Nepal	Àkúnya Omi àti Ilẹ̀ Yíya Ba Orílẹ̀-èdè Nepal Jẹ́
Flash Floods in the Philippines	Omíyalé Ṣọṣẹ́ Lórílẹ̀-Èdè Philippines
Manila, Philippines—2019 “Love Never Fails”! International Convention	Àpéjọ Àgbáyé “Ìfẹ́ Kì í Yẹ̀ Láé!” Manila, Philippines—2019
Storm Season in the Philippines Begins With Destructive Typhoon Vongfong	Ìjì Líle Vongfong Jà Lórílè-èdè Philippines Lásìkò Tí Ìjì Sábà Máa Ń Jà
Monsoon Rains Hit the Philippines	Òjò Alátẹ́gùn Rọ́ Lu Orílẹ̀-Èdè Philippines
Typhoon Yutu Continues Course, Battering the Philippines	Ìjì Líle Yutu Tún Ṣọṣẹ́, Ó Jà ní Philippines
2020 Memorial Commemoration	Ìrántí Ikú Kristi ti Ọdún 2020
Jehovah’s Witnesses Release the New World Translation in Three Languages in the Philippines	Àwa Ẹlẹ́rìí Jèhófà Mú Bíbélì Ìtumọ̀ Ayé Tuntun Jáde Lédè Mẹ́ta ní Philippines
Earthquakes Rattle Philippines	Ìmìtìtì Ilẹ̀ Ṣọsẹ́ Ní Orílẹ̀-Èdè Philippines
Fires in the Philippines Consume Homes	Iná Ńlá Tó Sọ ní Philippines Jó Ọ̀pọ̀ Ilé
Blast of Volcanic Ash in the Philippines Threatens Eruption	Ó Ṣeé Ṣe Kí Òkè Ayọnáyèéfín Tó Wà Lórílẹ̀-Èdè Philippines Bú Gbàù
Typhoon Devastates Parts of Philippines	Ìjì Líle Ba Apá Kan Orílẹ̀-èdè Philippines Jẹ́
Fire Razes Homes in Philippines	Iná Sọ Àwọn Ilé Di Eérú ní Philippines
Tropical Depression Strikes Eastern Philippines Causing Landslides and Flash Flooding	Ìjì Líle Jà ní Ìlà Oòrùn Orílẹ̀-Èdè Philippines, Ó Mú Kí Ilẹ̀ Ya, Ó sì Fa Omíyalé
Philippines Rocked by Two Tropical Storms	Ìjì Méjì Ṣọṣẹ́ ní Philippines
Multiple Earthquakes Shake Southern Philippines	Ìmìtìtì Ilẹ̀ Tó Pọ̀ Gan-an Wáyé ní Apá Gúúsù Orílẹ̀-Èdè Philippines
“Not Guilty”	“Wọn Ò Jẹ̀bi”
South Korea’s Supreme Court Hears Arguments on Conscientious Objection	Ilé Ẹjọ́ Gíga Jù Lọ Nílẹ̀ South Korea Gbọ́ Tẹnu Àwọn Èèyàn Lórí Ọ̀rọ̀ Àwọn Tí Ẹ̀rí Ọkàn Ò Jẹ́ Kí Wọ́n Ṣiṣẹ́ Ológun
All Witnesses Imprisoned for Conscientious Objection in South Korea Now Free	Wọ́n Ti Dá Gbogbo Ẹlẹ́rìí Jèhófà Tó Wà Lẹ́wọ̀n Torí Pé Ẹ̀rí Ọkàn Ò Jẹ́ Kí Wọ́n Ṣiṣẹ́ Ológun Sílẹ̀ ní South Korea
Righting a Wrong for Conscientious Objectors: Long-Awaited Ruling by South Korea Constitutional Court	Ilé Ẹjọ́ Ìjọba South Korea Ṣèpinnu Tá A Ti Ń Retí Tipẹ́​—Wọ́n Gbèjà Àwọn Tí Ẹ̀rí Ọkàn Ò Jẹ́ Kí Wọ́n Ṣiṣẹ́ Ológun
Historic Supreme Court Decision in South Korea	Ilé Ẹjọ́ Gíga Jù Lọ Nílẹ̀ South Korea Dá Ẹjọ́ Mánigbàgbé
Forest Fire Erupts Along Eastern Coast of South Korea	Iná Ńlá Sọ Nínú Igbó Létí Ìlà Oòrùn South Korea
Historic Korean Constitutional Court Decision: Absence of Alternative Service Declared Unconstitutional	Ìdájọ́ Tó Ṣàrà Ọ̀tọ̀ ní Ilé Ẹjọ́ Tó Ń Rí Sí Ẹ̀tọ́ Ọmọnìyàn Nílẹ̀ Korea: Kò Bófin Mu Bí Kò Ṣe Sí Iṣẹ́ Míì Téèyàn Lè Fi Sìnlú
Korean Brothers Released From Prison	Wọ́n Dá Àwọn Arákùnrin Wa Sílẹ̀ Lẹ́wọ̀n ní Korea
Jehovah’s Witnesses Display Bible Literature at 2018 Olympics and Paralympics	Àwọn Ẹlẹ́rìí Jèhófà Pàtẹ Ìwé Tó Dá Lórí Bíbélì Níbi Ìdíje Òlíńpíìkì àti Ìdíje Fáwọn Aláàbọ̀ Ara ti Ọdún 2018
Sri Lanka Hosts Their First Special Convention	Àwọn Ẹlẹ́rìí Jèhófà Ṣe Àkànṣe Àpéjọ Fúngbà Àkọ́kọ́ ní Siri Láńkà
Revised New World Translation Released in Chinese	Wọ́n Mú Bíbélì Ìtumọ̀ Ayé Tuntun Tá A Tún ṣe Jáde Lédè Chinese
Earthquake Strikes Taiwan	Ìmìtìti Ilẹ̀ Ṣọṣẹ́ ni Taiwan
Brother Jovidon Bobojonov Sentenced to Two Years in Prison in Tajikistan	Wọ́n Fi Arákùnrin Jovidon Bobojonov Sẹ́wọ̀n Ọdún Méjì Lórílẹ̀-èdè Tajikistan
